strategy,regime,annualized_return,annualized_volatility,sharpe,days
BTC_BH__always_on,bull,5.416947208767975,0.6147956074646026,3.333793391560759,676
BTC_BH__always_on,non_bull,-0.3039527772457816,0.6580530676540476,-0.2080729582759766,1151
ETH_BH__always_on,bull,10.277535702309763,0.7634919190916835,3.5583501172425223,676
ETH_BH__always_on,non_bull,-0.3920075841071792,0.8719120189764373,-0.11795968147103009,1151
TOP20_EQ__always_on,bull,10.46538790291663,0.7718791404016445,3.554112670114086,676
TOP20_EQ__always_on,non_bull,-0.4775946139349,0.8056553877188323,-0.3912266305533092,1151
TOP20_MOM_top4_monthly__always_on,bull,8.922051929463722,0.8890966552008625,3.0255277323948313,676
TOP20_MOM_top4_monthly__always_on,non_bull,-0.5218945789054922,0.8401676087188161,-0.44808026404084184,1151
TOP20_MOM_top4_biweekly__always_on,bull,9.990349950645617,0.9208441099980843,3.064753643302739,676
TOP20_MOM_top4_biweekly__always_on,non_bull,-0.6023300780625759,0.8756018511663785,-0.6073790390308557,1151
TOP20_MOM_top6_monthly__always_on,bull,6.680167596936146,0.8043029281444866,2.9408179457169266,676
TOP20_MOM_top6_monthly__always_on,non_bull,-0.47952562286689093,0.8117502383134876,-0.3878865906654971,1151
TOP20_MOM_top6_biweekly__always_on,bull,9.38129052733092,0.844357622079598,3.1986085154965407,676
TOP20_MOM_top6_biweekly__always_on,non_bull,-0.5167289475114558,0.8252640763541357,-0.45931912847706424,1151
TOP20_MOM_top8_monthly__always_on,bull,7.688763728245396,0.7942264525527367,3.1247852794173427,676
TOP20_MOM_top8_monthly__always_on,non_bull,-0.4943355010772781,0.7987857969068551,-0.44279292847128493,1151
TOP20_MOM_top8_biweekly__always_on,bull,12.049194147441517,0.8332060180227553,3.5059975777467596,676
TOP20_MOM_top8_biweekly__always_on,non_bull,-0.5481727260362566,0.8089053243356088,-0.5670601780176328,1151
TOP20_SECTOR_top2_monthly__always_on,bull,6.456663193824672,0.9529067028395349,2.577475485287112,676
TOP20_SECTOR_top2_monthly__always_on,non_bull,-0.564333247227379,0.8528796875689967,-0.5399602715907319,1151
TOP20_SECTOR_top2_biweekly__always_on,bull,9.607009592775125,0.9289695748104727,3.0076549004976956,676
TOP20_SECTOR_top2_biweekly__always_on,non_bull,-0.6427525772369391,0.891865745674561,-0.7062894723028954,1151
TOP20_SECTOR_top3_monthly__always_on,bull,9.002792086913978,0.8559396134581267,3.1209340614603867,676
TOP20_SECTOR_top3_monthly__always_on,non_bull,-0.5091343706565372,0.7970890968941856,-0.4842197398122179,1151
TOP20_SECTOR_top3_biweekly__always_on,bull,11.212433358090449,0.8439638490887088,3.3928265933975252,676
TOP20_SECTOR_top3_biweekly__always_on,non_bull,-0.6045028377006423,0.8192822756154265,-0.7155228237376873,1151
TOP20_SECTOR_top4_monthly__always_on,bull,7.584070069827293,0.7889911746478655,3.124475155416754,676
TOP20_SECTOR_top4_monthly__always_on,non_bull,-0.4176682621819169,0.775413344348546,-0.29856025457663243,1151
TOP20_SECTOR_top4_biweekly__always_on,bull,12.704215555683437,0.8217456509958324,3.602858200739312,676
TOP20_SECTOR_top4_biweekly__always_on,non_bull,-0.5860732926583337,0.7915698617088411,-0.7099605859435867,1151
BTC_BH__bull_only,bull,1.3776925548859995,0.5391335684868929,1.8741290102364103,676
BTC_BH__bull_only,non_bull,-0.22136497411809664,0.22444991182497773,-0.9987254339490548,1151
ETH_BH__bull_only,bull,3.968100238672794,0.7030839704685162,2.6290431809944006,676
ETH_BH__bull_only,non_bull,-0.22927543237640668,0.3636762966213992,-0.5282000426184581,1151
TOP20_EQ__bull_only,bull,4.029472253922857,0.6938208668530957,2.6782939243033757,676
TOP20_EQ__bull_only,non_bull,-0.31585585774495895,0.3755664730423493,-0.808665637682551,1151
TOP20_MOM_top4_monthly__bull_only,bull,3.6958433656242935,0.7996260196089606,2.3307367029108783,676
