strategy,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,annualized_turnover,avg_turnover_per_rebalance,average_holdings,variant,frequency,top_k,stop_lookback,immediate_reentry,risk_on_fraction,total_return_delta_vs_momentum,cagr_delta_vs_momentum,sharpe_delta_vs_momentum,drawdown_improvement_vs_momentum
SECTOR_LEAD_V3_top1_biweekly_BTC14_reentry_0,5.334305679054389,0.7158181881843915,0.5288722096621675,1.27111452204237,2.5486823124360485,-0.4156999171286976,1.7219589388630538,0.38095238095238093,15.79326923076923,1.148936170212766,0.19230769230769232,V3+STOP,biweekly,1.0,14.0,False,0.561698717948718,3.193181352592271,0.31822277322312487,0.350877104609005,0.062136848320042626
SECTOR_LEAD_V3_top1_biweekly_BTC21_reentry_0,4.803432220840533,0.6724508401879645,0.6091489946911137,1.1337686533849791,2.1891147982346215,-0.626322635680735,1.073649269369123,0.2857142857142857,15.208333333333334,1.3,0.22916666666666666,V3+STOP,biweekly,1.0,21.0,False,0.5488782051282052,2.662307894378415,0.2748554252266979,0.21353123595161405,-0.14848587023199478
SECTOR_LEAD_V3_top1_biweekly_NO_STOP,4.75839292551581,0.6686442658438221,0.7983561020250209,1.022356147436309,1.968004916425775,-0.6850839973520108,0.9760033345228737,0.35714285714285715,18.13301282051282,1.7222222222222223,0.44871794871794873,V3,biweekly,1.0,,False,,2.617268599053692,0.2710488508825555,0.10211873000294391,-0.20724723190327055
SECTOR_LEAD_V3_top1_biweekly_BTC14_reentry_1,4.422048951037393,0.6395296445255376,0.6418458831344704,1.0774748129068172,2.0325628444239583,-0.6168411452578282,1.0367817540093343,0.3333333333333333,35.09615384615385,1.1428571428571428,0.2948717948717949,V3+STOP,biweekly,1.0,14.0,True,0.561698717948718,2.280924624575275,0.24193422956427102,0.15723739547345217,-0.13900437980908797
SECTOR_LEAD_V3_top1_biweekly_BTC21_reentry_1,3.776376151613656,0.5798452599556265,0.6643196036457101,1.0053738812455089,1.899376345712158,-0.7619923869485703,0.7609593873734626,0.3333333333333333,25.15224358974359,1.2463768115942029,0.29967948717948717,V3+STOP,biweekly,1.0,21.0,True,0.5488782051282052,1.6352518251515376,0.18224984499435992,0.08513646381214379,-0.2841556214998301
SECTOR_LEAD_V3_top2_biweekly_BTC14_reentry_0,3.334646317322325,0.5356368760031456,0.434800515278093,1.1972880699246895,2.2225978451452453,-0.37518372312923143,1.427665548856037,0.3333333333333333,14.661185551083037,1.044358422816874,0.38461538461538464,V3+STOP,biweekly,2.0,14.0,False,0.561698717948718,1.1935219908602068,0.13804146104187898,0.27705065249132443,0.10265304231950878
SECTOR_LEAD_V3_top1_biweekly_BTC18_reentry_0,3.243464695034791,0.526118138998845,0.6093277964891921,0.9825590790293696,1.8886715041210338,-0.6747180643814468,0.779759972013152,0.2857142857142857,15.79326923076923,1.2272727272727273,0.21794871794871795,V3+STOP,biweekly,1.0,18.0,False,0.5584935897435898,1.1023403685726727,0.12852272403757836,0.062321661596004496,-0.19688129893270656
SECTOR_LEAD_V3_top1_7D_BTC14_reentry_0,2.8085459083154927,0.4786093578755286,0.4554753851939844,1.071413389263829,2.261860891537802,-0.4217655483733528,1.1347758481493062,0.30952380952380953,16.378205128205128,1.0,0.1201923076923077,V3+STOP,7D,1.0,14.0,False,0.561698717948718,0.6674215818533744,0.081013942914262,0.15117597183046383,0.056071217075387425
SECTOR_LEAD_V3_top2_biweekly_BTC14_reentry_1,2.646316372646237,0.4599043025397458,0.5083292862472188,0.9927394255985614,1.7538411803144376,-0.5407057728246885,0.8505629598462957,0.30952380952380953,34.2968023690212,1.0470256691912538,0.5897435897435898,V3+STOP,biweekly,2.0,14.0,True,0.561698717948718,0.5051920461841188,0.06230888757847919,0.07250200816519636,-0.06286900737594825
SECTOR_LEAD_V3_top2_biweekly_NO_STOP,2.4657129149036634,0.4383746816839009,0.6210319553044954,0.8894525701680442,1.5743066569035977,-0.5959794989010239,0.7355532908300645,0.30952380952380953,16.438899983174487,1.2490561448402895,0.8974358974358975,V3,biweekly,2.0,,False,,0.32458858844154515,0.04077926672263432,-0.030784847265320825,-0.11814273345228365
SECTOR_LEAD_V3_top1_biweekly_BTC18_reentry_1,2.344207862086219,0.42343937585460223,0.651767848763537,0.8525364530227338,1.5947636849216174,-0.7527861605622344,0.5624962280634218,0.30952380952380953,32.756410256410255,1.1914893617021276,0.2980769230769231,V3+STOP,biweekly,1.0,18.0,True,0.5584935897435898,0.20308353562410053,0.025843960893335627,-0.06770096441063123,-0.27494939511349414
