rebalance_date,sector,sector_rank,sector_weight,sector_ret_30,sector_ret_60,sector_ret_90,sector_rel_btc_60,breadth_positive_30,breadth_above_ma20,leader_momentum,top2_momentum,member_count,sector_ret_21,sector_rel_btc_30,leader_vs_sector,sector_lead_score
2023-03-27,Store of Value,1,0.6,0.1716683902578826,0.17979195233200684,0.6254570211502142,0.0,1.0,1.0,0.2648631850585862,0.2648631850585862,1.0,0.1716683902578826,0.0,0.08507123272657935,0.9500000000000001
2023-03-27,Payments,2,0.4,0.11377578406563915,0.09571387929876773,0.30270902244689923,-0.08407807303323911,0.5,1.0,0.24744531996907135,0.14614386031182974,2.0,0.11377578406563915,-0.057892606192243456,0.1517314406703036,0.75
2023-04-10,Smart Contract Platform / L1,1,0.6,inf,inf,inf,inf,1.0,1.0,inf,inf,4.0,inf,inf,,0.9
2023-04-10,Store of Value,2,0.4,0.4386497263942253,0.35988453540173015,0.7002065078051007,0.0,1.0,1.0,0.46733152537865186,0.46733152537865186,1.0,0.4386497263942253,0.0,0.1074469899769217,0.7416666666666667
2023-10-23,Oracle / Middleware,1,0.6,0.47128354888054513,0.7392733848430051,0.43108345732449616,0.47489205655026745,1.0,1.0,0.5436404813580733,0.5436404813580733,1.0,0.47128354888054513,0.2268385694726669,-0.19563290348493179,0.85
2023-10-23,Smart Contract Platform / L1,2,0.4,0.21766650937257792,0.08519101972013352,0.004100778034815372,-0.17919030857260412,1.0,1.0,0.5483277723396245,0.3058596296612539,4.0,0.21766650937257792,-0.026778470035300317,0.46313675261949094,0.82
2023-11-06,Smart Contract Platform / L1,1,0.6,0.38710427827682803,0.4036598454449653,0.14756392186421818,0.06899684655862542,1.0,1.0,0.8883251893788157,0.7259404793677774,7.0,0.38710427827682803,0.1339771434583611,0.48466534393385036,0.89
2023-11-06,Oracle / Middleware,2,0.4,0.7248705351214979,1.03381869422264,0.7408201554543019,0.6991556953363001,1.0,1.0,0.8207449069184013,0.8207449069184013,1.0,0.7248705351214979,0.47174340030303097,-0.21307378730423865,0.85
2023-11-20,Smart Contract Platform / L1,1,0.6,0.654956495331519,0.7406016770168307,0.6302525648232011,0.32997958917783055,1.0,0.875,1.3880251261651586,1.3277585387925686,8.0,0.654956495331519,0.4025651101995449,0.647423449148328,1.0
2023-11-20,Oracle / Middleware,2,0.4,0.6244110388153468,1.1728691476590636,1.368722394896123,0.7622470598200635,1.0,1.0,0.9378107426846171,0.9378107426846171,1.0,0.6244110388153468,0.37201965368337264,-0.23505840497444652,0.7666666666666667
2023-12-04,Smart Contract Platform / L1,1,0.6,0.3645542520795868,0.8226058233947633,0.8367468813032675,0.2911435618763527,0.875,1.0,1.1529805816678098,1.1502820031086682,8.0,0.3645542520795868,0.1679430024362094,0.3303747582730465,0.93
2023-12-04,Oracle / Middleware,2,0.4,0.3747826086956523,1.1178834561286002,1.5761772853185598,0.5864211946101896,1.0,1.0,0.8379917982501182,0.8379917982501182,1.0,0.3747826086956523,0.17817135905227488,-0.279891657878482,0.81
2023-12-18,Smart Contract Platform / L1,1,0.6,0.5791830492201268,1.8140499477977907,1.8219013413161231,1.329724878141101,1.0,0.7,2.4331249066482714,2.311482403438701,10.0,0.5791830492201268,0.4135945564709159,0.6190749588504807,1.0
2023-12-18,Meme,2,0.4,0.18262909754456436,0.5455597972338695,0.43929709158271946,0.06123472757717985,1.0,0.5,0.34877763027981057,0.3428419062589869,2.0,0.18262909754456436,0.01704060479535352,-0.19678216695405892,0.65
2024-01-01,Smart Contract Platform / L1,1,0.6,0.7935211089076405,1.4700140052526742,2.0717289529989373,1.205315453296363,1.0,0.8571428571428571,2.1311239975884093,2.01154377667071,7.0,0.7935211089076405,0.6737253686686956,0.6611099923357351,1.0
2024-01-01,Oracle / Middleware,2,0.4,0.29782556270096466,0.6323027076962708,1.1942265459163814,0.36760415573995964,0.5,1.0,0.8246399104345297,0.5774489028426398,2.0,0.29782556270096466,0.17802982246201976,0.19233720273825883,0.75
2024-01-15,Smart Contract Platform / L1,1,0.6,0.5707736815639683,0.9641418030410204,2.315878505146124,0.7891302855596128,1.0,0.6666666666666666,1.5311244266240305,1.5184973878742225,6.0,0.5707736815639683,0.5649029225363744,0.5669826235830101,1.0
2024-01-15,Exchange / Trading Infrastructure,2,0.4,0.2993734900290732,0.3084281708725052,0.5002600349865254,0.13341665339109765,1.0,1.0,0.3422672032735932,0.3422672032735932,1.0,0.2993734900290732,0.2935027310014793,0.03383903240108804,0.7600000000000001
2024-01-29,Smart Contract Platform / L1,1,0.6,0.10473532972264943,0.7756783274926544,1.3863056222359074,0.6279772399109746,0.5,0.5,1.4563696733861928,1.0498185466376868,8.0,0.10473532972264943,0.07730095452764285,0.6806913458935384,1.0
2024-01-29,Store of Value,2,0.4,0.027434375195006577,0.14770108758167977,0.2494263184576715,0.0,1.0,1.0,0.10791277756354152,0.10791277756354152,1.0,0.027434375195006577,0.0,-0.03978831001813825,0.7400000000000001
2024-02-12,Smart Contract Platform / L1,1,0.6,0.1313219543903984,0.5027457583802348,1.1368132651619869,0.3421072825049274,0.875,1.0,1.11350989531378,0.8704246567874581,8.0,0.1313219543903984,-0.03450237608830575,0.6107641369335453,0.825
