family,variant_id,cost_bps,multiple,cagr,sharpe,max_drawdown
core,no_overlay,2.0,3.115669382148669,0.27201778558327927,0.6917608946028075,-0.6680153886620182
core,no_overlay,20.0,2.420084251241047,0.20576705868043965,0.6176118633439,-0.6746927613560461
core,own_stop_only,2.0,2.996139403895594,0.26152613016078474,0.6789262211449354,-0.560752704951961
core,own_stop_only,20.0,2.371578551834105,0.2006095508813881,0.6039221009794968,-0.5802042272811203
core,btc_gate_only,2.0,6.012327343624939,0.4619634567549056,1.150173405337534,-0.3377284506051996
core,btc_gate_only,20.0,5.165765308192946,0.4157373459736122,1.0693490321564492,-0.356464979628513
core,full_current,2.0,6.371908255028081,0.4800537182884905,1.1891297291681497,-0.32692813922900366
core,full_current,20.0,5.508519401879314,0.43512468950853234,1.1108263922883508,-0.34563342771098315
core,own_stop_immediate_reentry,2.0,2.916421049741471,0.2543440260750178,0.6701700671021863,-0.6176247820298774
core,own_stop_immediate_reentry,20.0,2.216257584541219,0.1835147030073585,0.5843215939562774,-0.6273932153235819
core,btc_gate_immediate_reentry,2.0,1.9550603696408566,0.1525069154063481,0.5301096793173447,-0.5564940718389182
core,btc_gate_immediate_reentry,20.0,1.3708634247096183,0.06906470154073507,0.3857778124735769,-0.6120341714440197
core,full_immediate_reentry,2.0,2.0888282663507183,0.16876938608504655,0.5579788808957015,-0.5463915907596488
core,full_immediate_reentry,20.0,1.4918899655099762,0.08838618775267904,0.417806014556549,-0.599847680878032
gate,gate_trailing11,2.0,6.371908255028081,0.4800537182884905,1.1891297291681497,-0.32692813922900366
gate,gate_trailing11,20.0,5.508519401879314,0.43512468950853234,1.1108263922883508,-0.34563342771098315
gate,gate_ma20,2.0,2.397817140662173,0.2034096592569914,0.6719129746077419,-0.4200928704472092
gate,gate_ma20,20.0,2.0808059221413333,0.1678175954999679,0.593757749918133,-0.44229930004268037
gate,gate_ma50,2.0,3.335248093484752,0.2904913225059451,0.7834862817532249,-0.5250342120837914
gate,gate_ma50,20.0,2.8886081744826098,0.25180184430405705,0.7171322091060632,-0.5388119884379976
gate,gate_ma65,2.0,2.349499884858629,0.19823439424159317,0.6180694543480295,-0.5729146638652494
gate,gate_ma65,20.0,2.0425226341567484,0.16323532266075147,0.5546780313787414,-0.5893175351946969
gate,gate_ma100,2.0,2.7835066890656224,0.24201749583714127,0.6987700925445414,-0.5023669498274586
gate,gate_ma100,20.0,2.432555021051169,0.20707986766772724,0.6367558660332462,-0.5124058336882741
gate,gate_ma200,2.0,2.3606384656786803,0.19943483806976214,0.6161380814518271,-0.547656318364043
gate,gate_ma200,20.0,2.063158332571807,0.16571361786327699,0.5569407422269542,-0.5555589583245755
stop_grid,stop_ma20_c1,2.0,4.588717651039713,0.3806743705146962,1.1219002452569822,-0.3783815359576175
stop_grid,stop_ma20_c1,20.0,3.9529810665035177,0.3377626813207115,1.0284849721305807,-0.40161649833316915
stop_grid,stop_ma20_c2,2.0,5.158406092875947,0.4153100988725975,1.1096495157108222,-0.3952796913195943
stop_grid,stop_ma20_c2,20.0,4.437507820217961,0.3709143264234944,1.0246315733361324,-0.4181525804274815
stop_grid,stop_ma20_c3,2.0,5.031809992679328,0.40788410420142873,1.0840159694929157,-0.3509300466623936
stop_grid,stop_ma20_c3,20.0,4.326963447648536,0.36361184261052215,1.0001057534276034,-0.37545844916251125
stop_grid,stop_ma50_c1,2.0,6.208440431215207,0.4719322818928713,1.1767354237832062,-0.32570877609790916
stop_grid,stop_ma50_c1,20.0,5.354647876276532,0.426542378543155,1.097032354416301,-0.3446588627900907
stop_grid,stop_ma50_c2,2.0,6.3506791766526804,0.4790083585717544,1.1855214417100612,-0.33271315599604967
stop_grid,stop_ma50_c2,20.0,5.476021522900213,0.4333279810701285,1.1059796891968905,-0.35147971233618625
stop_grid,stop_ma50_c3,2.0,6.207397488428324,0.47187992785817534,1.1717986416280841,-0.33772845060519974
stop_grid,stop_ma50_c3,20.0,5.351836311117497,0.4263837623896498,1.0923927813935839,-0.3564649796285121
stop_grid,stop_ma65_c1,2.0,6.288557329582489,0.4759334557385033,1.1862344531588818,-0.32861041240339695
stop_grid,stop_ma65_c1,20.0,5.439486633250027,0.43129801433057,1.107847116208796,-0.3472627009833661
stop_grid,stop_ma65_c2,2.0,6.4045878166733825,0.4816575680524986,1.1935067148576666,-0.3279288638924689
stop_grid,stop_ma65_c2,20.0,5.533944754613016,0.4365245627689174,1.114778383320139,-0.34660400269476577
stop_grid,stop_ma65_c3,2.0,6.549054708573143,0.48867137440612973,1.202709495992195,-0.32692813922900343
stop_grid,stop_ma65_c3,20.0,5.658784913746755,0.4433253778104287,1.1242699355772394,-0.34563342771098315
