family,variant_id,offset_days,cost_bps,multiple,cagr,sharpe,max_drawdown,annualized_turnover,average_holdings
core,no_overlay,0,2.0,10.578776087967787,0.6477462452343652,0.969800091303204,-0.7764734993807056,31.104347826086958,0.9994202898550725
core,no_overlay,0,20.0,8.11462537135358,0.55778506807895,0.9146490070038845,-0.7950144712876943,31.104347826086958,0.9994202898550725
core,own_stop_only,0,2.0,10.395664059353381,0.641666141871188,0.9652086913496853,-0.7906483099801921,28.98840579710145,0.8544927536231884
core,own_stop_only,0,20.0,8.119904348128454,0.5579995709395278,0.9124850129288876,-0.8066162340497346,28.98840579710145,0.8544927536231884
core,btc_gate_only,0,2.0,21.563500833439722,0.9158917138387928,1.2977627659038657,-0.4921970117624008,17.56231884057971,0.28695652173913044
core,btc_gate_only,0,20.0,18.567370006620525,0.8561622986229982,1.2491453686055833,-0.5154454203711656,17.56231884057971,0.28695652173913044
core,full_current,0,2.0,25.868495072589642,0.9911665323130321,1.3599489766759607,-0.41786949487206715,16.71594202898551,0.2718840579710145
core,full_current,0,20.0,22.435339742440824,0.9320364844298183,1.3134453709359495,-0.43987187292967755,16.71594202898551,0.2718840579710145
core,own_stop_immediate_reentry,0,2.0,7.190631073986134,0.5184205989962416,0.8872083978748668,-0.851402181190683,33.220289855072465,0.8991304347826087
core,own_stop_immediate_reentry,0,20.0,5.417557140811085,0.4300743915806786,0.8271769436010279,-0.8656746513991547,33.220289855072465,0.8991304347826087
core,btc_gate_immediate_reentry,0,2.0,4.4748585798206095,0.37334927763188097,0.7771833115655842,-0.7073899061096172,40.41449275362319,0.5223188405797101
core,btc_gate_immediate_reentry,0,20.0,3.1713863481173266,0.2768001804557021,0.6808721176340125,-0.7434692506385088,40.41449275362319,0.5223188405797101
core,full_immediate_reentry,0,2.0,4.005667410264331,0.3415179291384123,0.746230982380318,-0.7567498299854165,38.721739130434784,0.49391304347826087
core,full_immediate_reentry,0,20.0,2.8801317900275962,0.2510232412834752,0.6534850328500752,-0.7859713488015674,38.721739130434784,0.49391304347826087
gate,gate_trailing11,0,2.0,25.868495072589642,0.9911665323130321,1.3599489766759607,-0.41786949487206715,16.71594202898551,0.2718840579710145
gate,gate_trailing11,0,20.0,22.435339742440824,0.9320364844298183,1.3134453709359495,-0.43987187292967755,16.71594202898551,0.2718840579710145
