family,variant_id,cost_bps,phase_median_multiple,phase_min_multiple,phase_max_multiple,phase_median_sharpe,phase_worst_drawdown,phase_median_turnover,phase_median_holdings
core,btc_gate_immediate_reentry,2.0,1.2862906236054679,0.22650851131635835,6.5404666476448945,0.402947673310883,-0.8997099370605351,41.6840579710145,0.5223188405797101
core,btc_gate_immediate_reentry,20.0,0.908326599835122,0.15709158051063524,4.536042539790558,0.29281547924308177,-0.9186350021847297,41.6840579710145,0.5223188405797101
core,btc_gate_only,2.0,4.27383636204391,0.6936715368031402,21.563500833439722,0.8045117470205143,-0.7819124326453502,18.19710144927536,0.27246376811594203
core,btc_gate_only,20.0,3.646973458363347,0.6005225451138272,18.567370006620525,0.7530498975924871,-0.7956133867907167,18.19710144927536,0.27246376811594203
core,full_current,2.0,4.596271492421494,0.7069329254498795,25.868495072589642,0.8271754925149707,-0.7470626738454493,16.92753623188406,0.25623188405797104
core,full_current,20.0,3.936276240769361,0.612005574743309,22.435339742440824,0.7797635876900323,-0.7629530006042398,16.92753623188406,0.25623188405797104
core,full_immediate_reentry,2.0,1.5342266495667178,0.2055372001702665,6.6021691143920895,0.4564098299275062,-0.8957655217137741,39.56811594202899,0.4834782608695652
core,full_immediate_reentry,20.0,1.1191574201871597,0.14254837577593202,4.712885044680252,0.35545120368402167,-0.9151289166042101,39.56811594202899,0.4834782608695652
core,no_overlay,2.0,2.110999233229009,0.14652989760516383,10.578776087967787,0.6178187429576468,-0.9696907836795579,29.834782608695654,0.9936231884057971
core,no_overlay,20.0,1.6428153847522227,0.11403204999924126,8.11462537135358,0.560459814219467,-0.9729956568299396,29.834782608695654,0.9936231884057971
core,own_stop_immediate_reentry,2.0,2.0392620055350577,0.11742034541251425,7.190631073986134,0.5993780864805235,-0.9564924941661108,32.37391304347826,0.8591304347826086
core,own_stop_immediate_reentry,20.0,1.5700721468979242,0.08846635224943145,5.417557140811085,0.5386222164014378,-0.9615159794497119,32.37391304347826,0.8591304347826086
core,own_stop_only,2.0,1.7655478742389934,0.11332413962867532,10.395664059353381,0.5661936246855688,-0.9604673253344714,27.718840579710147,0.8052173913043478
core,own_stop_only,20.0,1.3940406841147606,0.08883544649028535,8.119904348128454,0.5107077838647345,-0.9651557075544518,27.718840579710147,0.8052173913043478
gate,gate_ma100,2.0,1.6077270809888446,0.20016821512604308,15.892088596500162,0.4672703422951572,-0.9184173594224744,15.869565217391305,0.3947826086956522
gate,gate_ma100,20.0,1.3954039273833545,0.17296652723026693,13.982368549216513,0.4255047941596176,-0.9243678436920889,15.869565217391305,0.3947826086956522
