cycle_days,target_volatility,vol_window,stop_mode,gate_mode,cost_bps,basket_multiple,basket_cagr,basket_sharpe,basket_max_drawdown,train_multiple,train_sharpe,test_multiple,test_sharpe,test_max_drawdown,phase_median_multiple,phase_min_multiple,phase_max_multiple,phase_median_sharpe,phase_worst_drawdown,phase_median_exposure,phase_median_turnover
7,0.8,60,own75,btc_ma100,2.0,7.56648297133758,0.5348882393125909,1.078013990656448,-0.4801938581598474,3.7989426835744844,1.0842300972967545,1.9917339116625354,1.0710382532730904,-0.28308363560536165,5.955439103209297,0.8894295020686845,29.18639407765666,0.9136338699323769,-0.7214102101316145,0.38997361209693543,35.10362960692374
7,0.8,60,own75,btc_ma100,20.0,5.590843498331288,0.43963902973502544,0.9548228907422854,-0.5027867980972105,3.1019263968839645,0.9594303953062603,1.8023778720048163,0.9504469729858275,-0.29366597049769194,4.420542958574025,0.6451184159301536,21.90277060587404,0.8093896817454214,-0.7610414981829435,0.38997361209693543,35.10362960692374
7,1.0,60,own75,btc_ma100,2.0,7.177180972896865,0.5178188343755177,1.0063912712540237,-0.5340193349838527,3.906943173347598,1.0410432660269064,1.8370323433056792,0.9448054229186629,-0.3273084544200605,5.395517079799473,0.651942103529621,30.322475514950924,0.8518925611369162,-0.7721422386719371,0.42008667257289956,37.837109677878345
7,1.0,60,own75,btc_ma100,20.0,5.180365088202873,0.41658353365062983,0.8856948082429559,-0.548177153732303,3.138730981159101,0.9203913164708128,1.650464827759727,0.8228086783154954,-0.3395013441519512,3.910587190035584,0.4607285141417246,22.227336594168364,0.7499490476657235,-0.8071123602739345,0.42008667257289956,37.837109677878345
7,1.2,60,own75,btc_ma100,2.0,7.065984503647458,0.5128094865739821,0.9719276647507212,-0.5796593615436942,3.9424678718509703,1.0099574754824354,1.7922744669901398,0.905789956829528,-0.3475685293623507,5.258210753683493,0.5917918400306122,30.215092255181887,0.8371474854426205,-0.8107343464481955,0.436482614841049,39.37305159527294
7,1.2,60,own75,btc_ma100,20.0,5.032890445530092,0.4079481023400806,0.8540161469248488,-0.5938836389009414,3.1358489222607315,0.8932169876980269,1.6049530989208902,0.7833182742743464,-0.36035473174719834,3.759188171740339,0.4124154516960952,21.848118345167816,0.7354357525785318,-0.8410092628827744,0.436482614841049,39.37305159527294
7,1.5,60,own75,btc_ma100,2.0,6.760510422851639,0.49872073195459343,0.9370580153536368,-0.5996869218532375,3.7855477373813295,0.9645540510148726,1.7858737735871908,0.899224369339317,-0.3513966771862427,4.985897347416975,0.5360423740116177,28.31024563122325,0.8098419926410613,-0.833616218593239,0.44867357129248586,40.45992644564065
7,1.5,60,own75,btc_ma100,20.0,4.77201489577422,0.3921712617812525,0.8216114204539531,-0.6140340618460938,2.9876241049288157,0.8510517932698444,1.5972608093172125,0.7762046230123057,-0.3646064192853865,3.5315741293794924,0.37104503455914295,20.24543861670439,0.7110034208068989,-0.8608650896303527,0.44867357129248586,40.45992644564065
7,2.0,60,own75,btc_ma100,2.0,6.119039214794896,0.4674190929555475,0.9005637096519727,-0.6043229231784677,3.4263559414414297,0.9128468774639582,1.7858737735871908,0.899224369339317,-0.3513966771862427,4.54848355029683,0.48694342014684755,23.27528564408099,0.7825915370307204,-0.8393700959368484,0.45226276431851764,40.819639770102455
7,2.0,60,own75,btc_ma100,20.0,4.305505257872521,0.36217732201625163,0.7853940056990276,-0.6186884972699533,2.695555561594859,0.7995623799317645,1.5972608093172125,0.7762046230123057,-0.3646064192853865,3.2127730958739313,0.3364358851156512,16.560062812245476,0.6840870488485359,-0.8658728190108933,0.45226276431851764,40.819639770102455
