train_start,train_end,test_start,test_end,selected_candidate,previous_candidate,switched,train_metric,train_c7_tv0.5_vw60_own75_btc_ma100_20bps,train_c7_tv0.6_vw60_own75_btc_ma100_20bps,train_c7_tv0.7_vw60_own75_btc_ma100_20bps,train_c7_tv0.8_vw60_own75_btc_ma100_20bps,train_c14_tv0.5_vw60_own75_btc_ma100_20bps,train_c14_tv0.6_vw60_own75_btc_ma100_20bps,train_c14_tv0.7_vw60_own75_btc_ma100_20bps,train_c14_tv0.8_vw60_own75_btc_ma100_20bps,switch_cost_bps
2022-01-01,2022-12-31,2023-01-01,2023-03-31,c14_tv0.8_vw60_own75_btc_ma100_20bps,,False,-1.3714828693305172,-1.6042173943894293,-1.5925378838492472,-1.5503403374821851,-1.506503213051063,-1.4598693954939648,-1.450073178075235,-1.4083082531906466,-1.3714828693305172,0.0
2022-04-01,2023-03-31,2023-04-01,2023-06-29,c14_tv0.5_vw60_own75_btc_ma100_20bps,c14_tv0.8_vw60_own75_btc_ma100_20bps,True,-0.5371905791520631,-0.9747954600639881,-0.9200481384014066,-0.8668531100655058,-0.8675401971904484,-0.5371905791520631,-0.5400039363264137,-0.5380420323434387,-0.561686562306119,0.0
2022-06-30,2023-06-29,2023-06-30,2023-09-27,c14_tv0.5_vw60_own75_btc_ma100_20bps,c14_tv0.5_vw60_own75_btc_ma100_20bps,False,0.3171981933330113,0.13064203172405195,0.11772803540225273,0.12547074635071656,0.12813483759860583,0.3171981933330113,0.2937595971060981,0.2911855259585399,0.29251011776745395,0.0
2022-09-28,2023-09-27,2023-09-28,2023-12-26,c14_tv0.5_vw60_own75_btc_ma100_20bps,c14_tv0.5_vw60_own75_btc_ma100_20bps,False,0.14350755125850556,0.0036284683334840296,-0.0012727645741643545,0.025651181430024077,0.03559618078189299,0.14350755125850556,0.08153628764725333,0.05425728996127531,0.04023862326723312,0.0
2022-12-27,2023-12-26,2023-12-27,2024-03-25,c14_tv0.5_vw60_own75_btc_ma100_20bps,c14_tv0.5_vw60_own75_btc_ma100_20bps,False,1.3838202125241905,1.1096007244562687,1.1214026512981479,1.133190066453901,1.127920413687311,1.3838202125241905,1.3567036479948968,1.347536395828016,1.3356059961745883,0.0
2023-03-27,2024-03-25,2024-03-26,2024-06-23,c7_tv0.5_vw60_own75_btc_ma100_20bps,c14_tv0.5_vw60_own75_btc_ma100_20bps,True,1.9616314151695093,1.9616314151695093,1.9167570758776837,1.8704409442609626,1.840860425300962,1.8682657105732983,1.8200726736728023,1.782338627260807,1.7511776389230234,0.0
2023-06-25,2024-06-23,2024-06-24,2024-09-21,c7_tv0.6_vw60_own75_btc_ma100_20bps,c7_tv0.5_vw60_own75_btc_ma100_20bps,True,1.3941047669095339,1.377789758071585,1.3941047669095339,1.3940091429098356,1.3774393123601654,1.3342072442057122,1.2929056337688591,1.252417602089458,1.1971964710468552,0.0
2023-09-23,2024-09-21,2024-09-22,2024-12-20,c14_tv0.5_vw60_own75_btc_ma100_20bps,c7_tv0.6_vw60_own75_btc_ma100_20bps,True,1.269895733648284,1.111557726789017,1.1187024995387231,1.0903517664554214,1.0442582548719197,1.269895733648284,1.2288692454575398,1.1819884705678811,1.1022998096598726,0.0
2023-12-22,2024-12-20,2024-12-21,2025-03-20,c7_tv0.6_vw60_own75_btc_ma100_20bps,c14_tv0.5_vw60_own75_btc_ma100_20bps,True,1.7642255653866066,1.7483576414328839,1.7642255653866066,1.747338656894549,1.706087014295946,1.729214841475076,1.692483229396181,1.6400130882829627,1.5484225853644336,0.0
2024-03-21,2025-03-20,2025-03-21,2025-06-18,c14_tv0.5_vw60_own75_btc_ma100_20bps,c7_tv0.6_vw60_own75_btc_ma100_20bps,True,1.0719885493227943,0.7954119017051094,0.8315510544602887,0.8335212598697896,0.7843121415770454,1.0719885493227943,1.0562808235083483,1.0250304776099652,0.9294182992663678,0.0
2024-06-19,2025-06-18,2025-06-19,2025-09-16,c14_tv0.5_vw60_own75_btc_ma100_20bps,c14_tv0.5_vw60_own75_btc_ma100_20bps,False,1.8100420328364126,1.564688097185891,1.5159275611209353,1.4520999436444064,1.3563870396538658,1.8100420328364126,1.7713608663851388,1.7312824821056028,1.6472602352842987,0.0
2024-09-17,2025-09-16,2025-09-17,2025-12-15,c14_tv0.5_vw60_own75_btc_ma100_20bps,c14_tv0.5_vw60_own75_btc_ma100_20bps,False,2.07248679921672,1.8859731882087278,1.8526632828996492,1.7924681632143449,1.7004583290763446,2.07248679921672,2.0474485753534344,1.998582956459406,1.908089453686662,0.0
2024-12-16,2025-12-15,2025-12-16,2026-03-15,c7_tv0.5_vw60_own75_btc_ma100_20bps,c14_tv0.5_vw60_own75_btc_ma100_20bps,True,0.10653734070356186,0.10653734070356186,0.00542727066278044,-0.11028446157727767,-0.23074412108378964,0.07207827863884675,0.02266797281116681,-0.06836483944400204,-0.16610362135974616,0.0
2025-03-16,2026-03-15,2026-03-16,2026-06-13,c7_tv0.5_vw60_own75_btc_ma100_20bps,c7_tv0.5_vw60_own75_btc_ma100_20bps,False,0.9913620038359139,0.9913620038359139,0.9270203232257377,0.8826709195067618,0.838198560483671,0.778995553004793,0.7622747235813869,0.7276293045243555,0.6899099739435883,0.0
2025-06-14,2026-06-13,2026-06-14,2026-09-11,c7_tv0.5_vw60_own75_btc_ma100_20bps,c7_tv0.5_vw60_own75_btc_ma100_20bps,False,0.6586503701044336,0.6586503701044336,0.6487752116795362,0.6409708952627833,0.5822051400264735,0.6274904579530605,0.6316104307313831,0.6037317411108102,0.5337434930426854,0.0
2025-09-12,2026-09-11,2026-09-12,2026-09-21,c14_tv0.7_vw60_own75_btc_ma100_20bps,c7_tv0.5_vw60_own75_btc_ma100_20bps,True,0.6051479172220365,0.5864670809678386,0.562332929783502,0.5928010490782666,0.5731917110357698,0.5747956754888853,0.5787413498658477,0.6051479172220365,0.5833263864582343,0.0
2022-01-01,2022-12-31,2023-01-01,2023-03-31,c14_tv0.8_vw60_own75_btc_ma100_20bps,,False,-1.3714828693305172,-1.6042173943894293,-1.5925378838492472,-1.5503403374821851,-1.506503213051063,-1.4598693954939648,-1.450073178075235,-1.4083082531906466,-1.3714828693305172,40.0
2022-04-01,2023-03-31,2023-04-01,2023-06-29,c14_tv0.5_vw60_own75_btc_ma100_20bps,c14_tv0.8_vw60_own75_btc_ma100_20bps,True,-0.5371905791520631,-0.9747954600639881,-0.9200481384014066,-0.8668531100655058,-0.8675401971904484,-0.5371905791520631,-0.5400039363264137,-0.5380420323434387,-0.561686562306119,40.0
2022-06-30,2023-06-29,2023-06-30,2023-09-27,c14_tv0.5_vw60_own75_btc_ma100_20bps,c14_tv0.5_vw60_own75_btc_ma100_20bps,False,0.3171981933330113,0.13064203172405195,0.11772803540225273,0.12547074635071656,0.12813483759860583,0.3171981933330113,0.2937595971060981,0.2911855259585399,0.29251011776745395,40.0
2022-09-28,2023-09-27,2023-09-28,2023-12-26,c14_tv0.5_vw60_own75_btc_ma100_20bps,c14_tv0.5_vw60_own75_btc_ma100_20bps,False,0.14350755125850556,0.0036284683334840296,-0.0012727645741643545,0.025651181430024077,0.03559618078189299,0.14350755125850556,0.08153628764725333,0.05425728996127531,0.04023862326723312,40.0
2022-12-27,2023-12-26,2023-12-27,2024-03-25,c14_tv0.5_vw60_own75_btc_ma100_20bps,c14_tv0.5_vw60_own75_btc_ma100_20bps,False,1.3838202125241905,1.1096007244562687,1.1214026512981479,1.133190066453901,1.127920413687311,1.3838202125241905,1.3567036479948968,1.347536395828016,1.3356059961745883,40.0
2023-03-27,2024-03-25,2024-03-26,2024-06-23,c7_tv0.5_vw60_own75_btc_ma100_20bps,c14_tv0.5_vw60_own75_btc_ma100_20bps,True,1.9616314151695093,1.9616314151695093,1.9167570758776837,1.8704409442609626,1.840860425300962,1.8682657105732983,1.8200726736728023,1.782338627260807,1.7511776389230234,40.0
2023-06-25,2024-06-23,2024-06-24,2024-09-21,c7_tv0.6_vw60_own75_btc_ma100_20bps,c7_tv0.5_vw60_own75_btc_ma100_20bps,True,1.3941047669095339,1.377789758071585,1.3941047669095339,1.3940091429098356,1.3774393123601654,1.3342072442057122,1.2929056337688591,1.252417602089458,1.1971964710468552,40.0
2023-09-23,2024-09-21,2024-09-22,2024-12-20,c14_tv0.5_vw60_own75_btc_ma100_20bps,c7_tv0.6_vw60_own75_btc_ma100_20bps,True,1.269895733648284,1.111557726789017,1.1187024995387231,1.0903517664554214,1.0442582548719197,1.269895733648284,1.2288692454575398,1.1819884705678811,1.1022998096598726,40.0
2023-12-22,2024-12-20,2024-12-21,2025-03-20,c7_tv0.6_vw60_own75_btc_ma100_20bps,c14_tv0.5_vw60_own75_btc_ma100_20bps,True,1.7642255653866066,1.7483576414328839,1.7642255653866066,1.747338656894549,1.706087014295946,1.729214841475076,1.692483229396181,1.6400130882829627,1.5484225853644336,40.0
