strategy,cost_bps,rolling_1y_median_multiple,rolling_1y_worst_multiple
phase_momentum,2.0,2.0354929668174675,0.779873924499573
phase_momentum,20.0,1.9345161676633886,0.7404006668758754
phase_momentum,50.0,1.7921701109916353,0.6785120176333311
phase_momentum,100.0,1.568992569626908,0.5863762471384921
BTC,0.0,1.523099025875503,0.3486305757202757
