signal_name,phase_offset,selected_asset,days
equal_7_14_28_60,1,kaspa,18
equal_7_14_28_60,1,near,17
equal_7_14_28_60,1,dogecoin,15
equal_7_14_28_60,1,binancecoin,14
equal_7_14_28_60,1,terra-luna,14
equal_7_14_28_60,1,immutable-x,9
equal_7_14_28_60,1,cardano,6
equal_7_14_28_60,1,uniswap,6
equal_7_14_28_60,1,litecoin,5
equal_7_14_28_60,1,aptos,3
equal_7_14_28_60,1,crypto-com-chain,1
equal_7_14_28_60,2,sui,79
equal_7_14_28_60,2,solana,73
equal_7_14_28_60,2,zcash,64
equal_7_14_28_60,2,hedera-hashgraph,54
equal_7_14_28_60,2,hyperliquid,52
equal_7_14_28_60,2,internet-computer,51
equal_7_14_28_60,2,stellar,48
equal_7_14_28_60,2,shiba-inu,47
equal_7_14_28_60,2,okb,44
equal_7_14_28_60,2,bitcoin-cash,42
equal_7_14_28_60,2,bitget-token,27
equal_7_14_28_60,2,avalanche-2,26
equal_7_14_28_60,2,pepe,26
equal_7_14_28_60,2,chainlink,23
equal_7_14_28_60,2,tron,21
equal_7_14_28_60,2,kaspa,20
equal_7_14_28_60,2,bitcoin,18
equal_7_14_28_60,2,dogecoin,18
equal_7_14_28_60,2,near,18
equal_7_14_28_60,2,ripple,15
equal_7_14_28_60,2,the-open-network,15
equal_7_14_28_60,2,binancecoin,14
equal_7_14_28_60,2,terra-luna,14
equal_7_14_28_60,2,monero,12
equal_7_14_28_60,2,immutable-x,9
equal_7_14_28_60,2,litecoin,7
equal_7_14_28_60,2,cardano,6
equal_7_14_28_60,2,filecoin,5
equal_7_14_28_60,2,uniswap,5
equal_7_14_28_60,2,crypto-com-chain,4
equal_7_14_28_60,2,aptos,2
ret21,0,ripple,73
ret21,0,solana,73
ret21,0,hyperliquid,60
ret21,0,bitcoin-cash,58
ret21,0,sui,45
ret21,0,chainlink,38
ret21,0,dogecoin,38
ret21,0,shiba-inu,37
ret21,0,stellar,36
ret21,0,the-open-network,36
ret21,0,internet-computer,35
ret21,0,okb,31
ret21,0,avalanche-2,29
ret21,0,zcash,29
ret21,0,near,26
ret21,0,cardano,24
ret21,0,tron,23
ret21,0,ethereum-classic,22
ret21,0,hedera-hashgraph,22
ret21,0,monero,21
ret21,0,uniswap,20
ret21,0,litecoin,18
ret21,0,bitget-token,17
ret21,0,binancecoin,16
ret21,0,pepe,11
ret21,0,ethereum,6
ret21,0,bittensor,5
ret21,0,immutable-x,3
ret21,0,crypto-com-chain,2
ret21,0,kaspa,2
ret21,0,optimism,2
ret21,0,aptos,1
ret21,1,ripple,68
ret21,1,hyperliquid,66
ret21,1,zcash,65
ret21,1,solana,64
ret21,1,bitcoin-cash,47
ret21,1,avalanche-2,46
ret21,1,sui,46
ret21,1,hedera-hashgraph,40
ret21,1,shiba-inu,34
ret21,1,tron,34
ret21,1,dogecoin,33
ret21,1,near,32
ret21,1,okb,30
ret21,1,the-open-network,23
ret21,1,stellar,21
ret21,1,ethereum-classic,20
ret21,1,pepe,20
ret21,1,binancecoin,19
ret21,1,internet-computer,19
ret21,1,aptos,15
ret21,1,immutable-x,15
ret21,1,cardano,13
ret21,1,chainlink,13
ret21,1,litecoin,11
ret21,1,bitcoin,9
ret21,1,bitget-token,9
ret21,1,ethereum,9
ret21,1,monero,9
ret21,1,uniswap,9
ret21,1,matic-network,8
ret21,1,bittensor,5
ret21,1,kaspa,4
ret21,1,optimism,2
ret21,1,crypto-com-chain,1
ret21,2,hyperliquid,75
ret21,2,solana,70
ret21,2,ripple,69
ret21,2,bitcoin-cash,54
ret21,2,avalanche-2,47
ret21,2,sui,43
ret21,2,the-open-network,43
ret21,2,internet-computer,41
ret21,2,hedera-hashgraph,38
ret21,2,dogecoin,37
ret21,2,shiba-inu,37
ret21,2,chainlink,33
ret21,2,zcash,31
ret21,2,tron,28
ret21,2,pepe,23
ret21,2,stellar,18
ret21,2,near,17
ret21,2,okb,17
ret21,2,aptos,14
ret21,2,binancecoin,14
ret21,2,cardano,14
ret21,2,bitcoin,12
