signal_name,phase_offset,cost_bps,multiple,cagr,sharpe,max_drawdown
weighted_multi_horizon,0,20.0,18.715879987535946,0.8592956711343984,1.2974613193665179,-0.43824320197034683
weighted_multi_horizon,1,20.0,19.80225188343191,0.8816395790381841,1.3074067514714087,-0.5090418740473897
weighted_multi_horizon,2,20.0,24.291768996788658,0.9648308412847297,1.402689307131172,-0.4237836723238215
ret21,0,20.0,18.092813211492782,0.8460154866939211,1.237458619843968,-0.5400228284082056
ret21,1,20.0,33.50743828637711,1.103285508028991,1.4787648780915281,-0.5033547571921225
ret21,2,20.0,26.68421558632774,1.0042976721952384,1.3618897160657135,-0.4977074566485027
equal_7_14_28_60,0,20.0,8.0372464037658,0.5546282023702462,1.0150532571699713,-0.5896690539856744
equal_7_14_28_60,1,20.0,17.125890608257816,0.824673942047865,1.2707871585822323,-0.3590049340930287
equal_7_14_28_60,2,20.0,9.55496898905199,0.6126166572762739,1.0721971016043512,-0.5221228782721361
equal_14_21_28,0,20.0,37.23572404243372,1.150793910554555,1.4894924791475388,-0.6305901011225663
equal_14_21_28,1,20.0,11.48228898550038,0.6765865653965768,1.135221610005078,-0.7002403190188342
equal_14_21_28,2,20.0,39.91577005412954,1.1826766998548979,1.543180564648428,-0.5021255625752943
