start,multiple,cagr,sharpe,max_drawdown
2022-01-01,23.087723285385238,0.9437968444641187,1.4328964512043647,-0.44919124813072153
2022-02-01,23.087723285385238,0.9675975346295029,1.4460223585541305,-0.44919124813072153
2022-03-01,23.087723285385238,0.9901203569465091,1.4581933748135936,-0.44919124813072153
2022-04-01,21.57271066696186,0.9859360174285521,1.4475076561209705,-0.44919124813072187
2022-05-01,24.800336189073303,1.0764302127000005,1.5173943827551077,-0.44919124813072153
2022-06-01,24.800336189073303,1.1065457302739765,1.5323592927612482,-0.44919124813072153
2022-07-01,24.800336189073303,1.1372826744485711,1.5472712895006078,-0.44919124813072153
2022-08-01,24.800336189073303,1.1708259684202758,1.5631470491953499,-0.44919124813072153
2022-09-01,24.800336189073303,1.2063335878613364,1.579521735449762,-0.44919124813072153
2022-10-01,24.800336189073303,1.2427285632354792,1.59586837701428,-0.44919124813072153
2022-11-01,24.800336189073303,1.2826247175457341,1.6133046839584273,-0.44919124813072153
2022-12-01,29.91113283456248,1.4408373759609128,1.714090013289149,-0.449191248130722
2023-01-01,29.91113283456248,1.4910299608087847,1.7336745825641744,-0.449191248130722
2023-02-01,22.04785751979997,1.340040877537255,1.660553144529635,-0.44919124813072153
2023-03-01,22.952418813152445,1.410342507927402,1.7237643649426726,-0.44919124813072187
2023-04-01,22.96210184693431,1.4630040649650655,1.754527893860194,-0.4491912481307221
2023-05-01,31.408321618315664,1.7606923993133896,1.9395464067421673,-0.4491912481307222
2023-06-01,31.239067013715648,1.8289578827842106,1.9664882627181974,-0.4491912481307213
2023-07-01,17.270307000659354,1.4175416044711753,1.798412501616724,-0.44919124813072175
2023-08-01,19.909174510676433,1.5905179525712678,1.9025337087812713,-0.44919124813072164
2023-09-01,22.94346151825304,1.786239092457249,2.0245196105939116,-0.44919124813072164
2023-10-01,22.94346151825304,1.8662344181653778,2.0525848075742434,-0.44919124813072164
2023-11-01,9.710815628997272,1.1956464077174815,1.6594811425578446,-0.44919124813072175
2023-12-01,9.395071076219363,1.2204824346903642,1.695120950158425,-0.44919124813072187
2024-01-01,6.1753607610383545,0.9513436271884643,1.4779093853189185,-0.44919124813072164
2024-02-01,6.924517118914537,1.0822251585940297,1.5947121971093483,-0.44919124813072153
2024-03-01,6.133134535685531,1.0315159927263968,1.5459442102176668,-0.4491912481307211
2024-04-01,4.761755966326895,0.8791395364494661,1.4659779486733056,-0.4117846146352393
2024-05-01,6.4489874846669135,1.179953375019446,1.752878233323576,-0.2879593077267394
2024-06-01,6.105881420622354,1.190863823869826,1.7601371951860558,-0.27163275298208034
2024-07-01,6.348964837344732,1.2952018994994274,1.8328837085856051,-0.27163275298208045
2024-08-01,7.492486365333788,1.5630439364721647,2.0354291864281753,-0.27163275298208034
2024-09-01,7.886867297410666,1.7320808025616792,2.126988079511277,-0.2716327529820798
2024-10-01,6.686749474146162,1.6202225878629446,2.0316393425974475,-0.27163275298208034
2024-11-01,5.776229739751875,1.532116241958001,2.020722496214547,-0.27163275298208023
2024-12-01,3.2481049992964053,0.9203318502372868,1.5594200135440965,-0.2355807292110128
2025-01-01,3.4283435143605816,1.0464279854974565,1.6734355144312183,-0.2355807292110128
2025-02-01,3.5150036836986978,1.156620458830484,1.7611351625866136,-0.2355807292110127
2025-03-01,4.24430690304886,1.5276861806460964,2.06066945764476,-0.2355807292110128
2025-04-01,4.24430690304886,1.6664189771494131,2.119808958642894,-0.2355807292110128
2025-05-01,3.939119970041284,1.6779143036388993,2.0872635342445,-0.2355807292110127
2025-06-01,3.2191535689969126,1.4463777565805533,1.9420358321185354,-0.23558072921101259
2025-07-01,3.0034485442230094,1.4547262580435558,1.984432123205605,-0.2355807292110127
2025-08-01,2.6022686459473574,1.3143634154702202,1.9353184466127777,-0.2355807292110127
2025-09-01,2.227443116826125,1.136676362812528,1.9352127176890244,-0.23558072921101259
2025-10-01,1.938139063336627,0.9746052399633995,1.7476094301843341,-0.2355807292110128
2025-11-01,2.1168001123273275,1.3275146513856257,2.1894909477931805,-0.13473938021411858
2025-12-01,2.1168001123273275,1.5370581757626538,2.2996622338039208,-0.13473938021411858
2026-01-01,2.1168001123273275,1.8313212291308223,2.4330041805290388,-0.13473938021411858
2026-02-01,2.1168001123273275,2.2537504905449537,2.592602354277378,-0.13473938021411858
2026-03-01,2.1168001123273275,2.82570515484055,2.7674756678869805,-0.13473938021411858
2026-04-01,2.1168001123273275,3.865505938820502,3.009535182070189,-0.13473938021411858
2026-05-01,2.045352285634039,5.21182666074662,3.2523619102955914,-0.1347393802141188
2026-06-01,1.6388832711730152,4.002610375917744,3.165610554130861,-0.09864554511048484
