cycle_days,target_volatility,vol_window,stop_mode,gate_mode,offset_days,cost_bps,multiple,cagr,sharpe,max_drawdown,annualized_turnover,average_exposure,average_holdings
14,0.5,60,own75,btc_ma100,0,2.0,1.5454922406216156,0.09655053212671638,0.46405603805407664,-0.31491562868994893,16.042819980620553,0.35553984706631014,0.37623188405797103
14,0.5,60,own75,btc_ma100,0,20.0,1.3480381977619191,0.06527111748075254,0.36288379705787494,-0.3272280507145563,16.042819980620553,0.35553984706631014,0.37623188405797103
14,0.5,60,own75,btc_ma100,0,100.0,0.7310746793634451,-0.06416691116342876,-0.08540850431647819,-0.4146584491148173,16.042819980620553,0.35553984706631014,0.37623188405797103
14,0.6,60,own75,btc_ma100,0,2.0,1.508388815157532,0.09092348170719378,0.4397435922065082,-0.32252195885984714,16.886701910063532,0.3706671480665613,0.37623188405797103
14,0.6,60,own75,btc_ma100,0,20.0,1.3062378012681426,0.05819054055978623,0.3376306762962965,-0.335344903149422,16.886701910063532,0.3706671480665613,0.37623188405797103
14,0.6,60,own75,btc_ma100,0,100.0,0.6858217373300097,-0.0767418572192059,-0.11478097302387603,-0.4524336905239078,16.886701910063532,0.3706671480665613,0.37623188405797103
14,0.5,60,own75,btc_ma100,1,2.0,1.3414459710865836,0.06416606117766599,0.35515439346041494,-0.3384306702799208,18.249373871315388,0.34686962169760405,0.36289855072463767
14,0.5,60,own75,btc_ma100,1,20.0,1.1482660402564302,0.02970309621323519,0.24729279380868172,-0.35043431286762705,18.249373871315388,0.34686962169760405,0.36289855072463767
14,0.5,60,own75,btc_ma100,1,100.0,0.5724385910414368,-0.11139836996389496,-0.22818842384321536,-0.5502721103795658,18.249373871315388,0.34686962169760405,0.36289855072463767
14,0.6,60,own75,btc_ma100,1,2.0,1.2939877096171135,0.056081679834457,0.32934983692715214,-0.34688993264133583,19.042952296959438,0.3587249923414445,0.36289855072463767
14,0.6,60,own75,btc_ma100,1,20.0,1.1001670648577286,0.020416555719719565,0.22130362634727047,-0.3592431870051236,19.042952296959438,0.3587249923414445,0.36289855072463767
14,0.6,60,own75,btc_ma100,1,100.0,0.5319780053082988,-0.12508261000114285,-0.25425590184020636,-0.5621455103385053,19.042952296959438,0.3587249923414445,0.36289855072463767
14,0.5,60,own75,btc_ma100,2,2.0,1.0816612717213157,0.0167582417877139,0.20498370812829822,-0.4661631320503272,17.471309139168632,0.3450909311540938,0.3750724637681159
14,0.5,60,own75,btc_ma100,2,20.0,0.9320584912120469,-0.014785940149612764,0.10156488071703068,-0.4799452981070942,17.471309139168632,0.3450909311540938,0.3750724637681159
14,0.5,60,own75,btc_ma100,2,100.0,0.47874226862589125,-0.14439733778605712,-0.3555965221947981,-0.5893754108263982,17.471309139168632,0.3450909311540938,0.3750724637681159
14,0.6,60,own75,btc_ma100,2,2.0,1.0415769380748594,0.008661767577338164,0.1869831176325745,-0.4934577468131408,18.446731709572287,0.3618701108027402,0.3750724637681159
14,0.6,60,own75,btc_ma100,2,20.0,0.8900802476313063,-0.02435168831395318,0.08454852291590002,-0.5074648381456811,18.446731709572287,0.3618701108027402,0.3750724637681159
14,0.6,60,own75,btc_ma100,2,100.0,0.440368332774335,-0.15939913701598107,-0.3686162016181159,-0.6280563674319339,18.446731709572287,0.3618701108027402,0.3750724637681159
14,0.5,60,own75,btc_ma100,3,2.0,1.5662106122229793,0.09964645779745629,0.4673830189849223,-0.42966865636131046,17.225389381866947,0.33554454613180956,0.36869565217391304
14,0.5,60,own75,btc_ma100,3,20.0,1.3524029524708021,0.06600044042808051,0.36229486209604306,-0.44638339334937704,17.225389381866947,0.33554454613180956,0.36869565217391304
14,0.5,60,own75,btc_ma100,3,100.0,0.7009576402444097,-0.07246493915220553,-0.10747919140100529,-0.5408147984023369,17.225389381866947,0.33554454613180956,0.36869565217391304
14,0.6,60,own75,btc_ma100,3,2.0,1.5401880144953417,0.09575267020511546,0.4472751385165772,-0.442743050928856,18.013165734955674,0.35173322925584494,0.36869565217391304
14,0.6,60,own75,btc_ma100,3,20.0,1.3210250786595688,0.060715511445503134,0.34310917625664156,-0.4637689372642567,18.013165734955674,0.35173322925584494,0.36869565217391304
14,0.6,60,own75,btc_ma100,3,100.0,0.6642937409520778,-0.08295502128730992,-0.12191809258520936,-0.5748586499684005,18.013165734955674,0.35173322925584494,0.36869565217391304
14,0.5,60,own75,btc_ma100,4,2.0,1.8127731889227003,0.1342157875976855,0.6025688341182635,-0.34847714973986776,16.76087618953769,0.33352464919996555,0.36231884057971014
14,0.5,60,own75,btc_ma100,4,20.0,1.5715297936831916,0.10043608621852851,0.49024436813074734,-0.37535229148077776,16.76087618953769,0.33352464919996555,0.36231884057971014
14,0.5,60,own75,btc_ma100,4,100.0,0.8292959433685397,-0.038853844865919474,-0.013085664122753665,-0.48557049197513624,16.76087618953769,0.33352464919996555,0.36231884057971014
14,0.6,60,own75,btc_ma100,4,2.0,1.9461036917216656,0.1513870352251927,0.6320037370012294,-0.35160062512757895,17.585134897483726,0.3495218146487053,0.36231884057971014
14,0.6,60,own75,btc_ma100,4,20.0,1.6752912257625923,0.11543358054910113,0.5222390694059601,-0.3790544868652901,17.585134897483726,0.3495218146487053,0.36231884057971014
14,0.6,60,own75,btc_ma100,4,100.0,0.8564597140045401,-0.03227286383632755,0.029838062974974523,-0.4992901820120488,17.585134897483726,0.3495218146487053,0.36231884057971014
14,0.5,60,own75,btc_ma100,5,2.0,1.3675854368111016,0.06852297208759639,0.376977816016373,-0.37803287242144223,13.116332637804375,0.3288424502311982,0.3472463768115942
14,0.5,60,own75,btc_ma100,5,20.0,1.22299086768261,0.043539698321140685,0.2917275701258945,-0.39626888666676363,13.116332637804375,0.3288424502311982,0.3472463768115942
14,0.5,60,own75,btc_ma100,5,100.0,0.7417591962911365,-0.06128778996788997,-0.08772561017556266,-0.47799260530231824,13.116332637804375,0.3288424502311982,0.3472463768115942
14,0.6,60,own75,btc_ma100,5,2.0,1.271141163024498,0.05210622098164919,0.3194095962237213,-0.428518853846089,13.663501737785671,0.3398646390446392,0.3472463768115942
14,0.6,60,own75,btc_ma100,5,20.0,1.1314506136292393,0.026491991543954985,0.23491587664142477,-0.44656347525893414,13.663501737785671,0.3398646390446392,0.3472463768115942
14,0.6,60,own75,btc_ma100,5,100.0,0.6719823015235921,-0.08071805705561441,-0.14068257150605318,-0.5336042936297384,13.663501737785671,0.3398646390446392,0.3472463768115942
14,0.5,60,own75,btc_ma100,6,2.0,2.6264953867207734,0.22684342094840182,0.8990459856713369,-0.24592803847245237,15.261198906171343,0.34813373236541995,0.3750724637681159
14,0.5,60,own75,btc_ma100,6,20.0,2.306215127289593,0.1935264218938988,0.7958123942611793,-0.25410756478956054,15.261198906171343,0.34813373236541995,0.3750724637681159
14,0.5,60,own75,btc_ma100,6,100.0,1.288237278022088,0.05508630778164347,0.3322835305953826,-0.3368036450730717,15.261198906171343,0.34813373236541995,0.3750724637681159
14,0.6,60,own75,btc_ma100,6,2.0,2.407049783929727,0.2043891966260265,0.7986722878795436,-0.269015301958319,15.891984091533587,0.3610776239554416,0.3750724637681159
14,0.6,60,own75,btc_ma100,6,20.0,2.1021844608954,0.17034762486761723,0.6970798701835537,-0.27803319596736886,15.891984091533587,0.3610776239554416,0.3750724637681159
14,0.6,60,own75,btc_ma100,6,100.0,1.1461394285084943,0.029299050446703667,0.2428357968108952,-0.3899758562071838,15.891984091533587,0.3610776239554416,0.3750724637681159
14,0.5,60,own75,btc_ma100,7,2.0,2.6172622171735727,0.22592905193979873,0.5872538257143017,-0.49081622047659357,15.201357044422679,0.33245453278505577,0.3536231884057971
14,0.5,60,own75,btc_ma100,7,20.0,2.299308956178808,0.19276882468358303,0.5349017807926872,-0.5014494754673936,15.201357044422679,0.33245453278505577,0.3536231884057971
14,0.5,60,own75,btc_ma100,7,100.0,1.2877142056715607,0.054995592802347115,0.3017627504784578,-0.5466244869703422,15.201357044422679,0.33245453278505577,0.3536231884057971
14,0.6,60,own75,btc_ma100,7,2.0,2.413108863665862,0.20503042628202062,0.5542552848725116,-0.5350789083990579,15.782209417160884,0.34547635444968,0.3536231884057971
14,0.6,60,own75,btc_ma100,7,20.0,2.109478582313594,0.171206202428426,0.5007851034698871,-0.5453491363818557,15.782209417160884,0.34547635444968,0.3536231884057971
14,0.6,60,own75,btc_ma100,7,100.0,1.1553508853129735,0.03104493982062939,0.2627760115237318,-0.5888247410502598,15.782209417160884,0.34547635444968,0.3536231884057971
