candidate,train_percentile,test_percentile,train_sharpe,test_sharpe
primary,0.875,0.5625,0.10344866066119354,0.043844777120749134
parameter_ensemble_20bps,0.53125,0.25,0.0997490122602122,0.0373881918529587
primary,0.8125,0.75,0.07050450075819002,0.07286269584514349
parameter_ensemble_20bps,0.5,0.3125,0.06445847676947213,0.06767307461254282
primary,0.78125,0.625,0.09168749853114,0.05185663619900969
parameter_ensemble_20bps,0.53125,0.25,0.08554441373937158,0.047243425939498616
primary,0.8125,0.59375,0.08675200241237832,0.060448109573720314
parameter_ensemble_20bps,0.46875,0.21875,0.08176133917752747,0.054935838917423645
primary,0.375,0.8125,0.03038560654095654,0.10688333803727626
parameter_ensemble_20bps,0.1875,0.4375,0.028067862287882318,0.09899168908665806
primary,0.75,0.75,0.027228231038753003,0.10583891040277622
parameter_ensemble_20bps,0.5,0.46875,0.0235995480828222,0.09890416649023479
primary,0.59375,0.78125,0.018863834517654138,0.11591170314625888
parameter_ensemble_20bps,0.1875,0.5,0.013006669778558761,0.11093943924286158
primary,0.75,0.8125,0.0029513058096511282,0.11930370083494568
parameter_ensemble_20bps,0.34375,0.4375,-0.0021834337781287765,0.1133022012956009
primary,0.875,0.75,0.03338284942180476,0.10251262618481664
parameter_ensemble_20bps,0.4375,0.46875,0.02761495278532481,0.09673338004703992
primary,0.6875,0.90625,0.0539281496443908,0.08723734675810334
parameter_ensemble_20bps,0.625,0.40625,0.053665312095385435,0.07711920378035758
primary,0.46875,0.8125,0.044994221428754075,0.09749185944662196
parameter_ensemble_20bps,0.25,0.4375,0.042564534657464514,0.08939494649270778
primary,0.4375,0.84375,0.03402840070327693,0.10203710598790884
parameter_ensemble_20bps,0.3125,0.40625,0.03293584053148661,0.093177448395619
primary,0.6875,0.75,0.058795022810333435,0.08338912424281643
parameter_ensemble_20bps,0.4375,0.4375,0.05674489254718583,0.07454268445007578
primary,0.84375,0.78125,0.042952469472327025,0.09654322148432931
parameter_ensemble_20bps,0.46875,0.4375,0.03938915408115898,0.08949319987066083
primary,0.90625,0.8125,0.03117477160819333,0.10138490895757293
parameter_ensemble_20bps,0.5625,0.34375,0.02884247615554142,0.09352996727870107
primary,0.875,0.6875,0.05781053199106401,0.08333216988930146
parameter_ensemble_20bps,0.5,0.25,0.05470764308716847,0.07565886202247359
primary,0.6875,0.8125,0.022063891926648357,0.11087459554871981
parameter_ensemble_20bps,0.21875,0.4375,0.017315745495758615,0.10487401794541867
primary,0.84375,0.75,0.04819149383017531,0.09293739137512462
parameter_ensemble_20bps,0.40625,0.46875,0.04278308884546173,0.08712969930256668
primary,0.84375,0.78125,0.03740819805826327,0.09799609030738485
parameter_ensemble_20bps,0.4375,0.46875,0.032884257760778406,0.09130968912981399
primary,0.71875,0.875,0.05212740125292087,0.08707596452447997
parameter_ensemble_20bps,0.3125,0.46875,0.04812801059980505,0.08028214092371522
primary,0.46875,0.84375,0.041907707494463056,0.0961768117973429
parameter_ensemble_20bps,0.25,0.5,0.03565673585389279,0.09129865468730666
primary,0.5,0.90625,0.029639150430206464,0.1011284672561201
parameter_ensemble_20bps,0.21875,0.5,0.024170773762448614,0.09529389891610186
primary,0.75,0.875,0.05741709548048453,0.08336546172416459
parameter_ensemble_20bps,0.1875,0.5,0.051588132520778804,0.07786564708931976
primary,0.875,0.75,0.03976117577486638,0.09575546713223394
parameter_ensemble_20bps,0.40625,0.5,0.031839855856717586,0.09171872498233204
primary,0.8125,0.78125,0.026316147975984524,0.10085376177924425
parameter_ensemble_20bps,0.375,0.5,0.01871204971565831,0.09584740652294754
primary,0.875,0.78125,0.05682050975623996,0.08362542875489838
parameter_ensemble_20bps,0.40625,0.40625,0.049446716651137035,0.07905344521587708
primary,0.84375,0.78125,0.01579008755683786,0.10942803171531486
parameter_ensemble_20bps,0.21875,0.5,0.00577795341750013,0.10619591806201024
primary,0.875,0.78125,0.04557893233968371,0.0922394890002361
parameter_ensemble_20bps,0.375,0.5,0.035765170260755534,0.08946848137789469
primary,0.875,0.78125,0.03362229691723232,0.09754710283550733
parameter_ensemble_20bps,0.375,0.5,0.02373970092370154,0.09372510362101737
primary,0.5625,0.90625,0.06578800267414187,0.07673210463169725
parameter_ensemble_20bps,0.28125,0.46875,0.06181597928783473,0.06976255367922464
primary,0.65625,0.90625,0.057505972061721096,0.08316378080163717
parameter_ensemble_20bps,0.4375,0.46875,0.0548131633498959,0.07546650665455841
primary,0.75,0.84375,0.08162074782183872,0.06410866109024987
parameter_ensemble_20bps,0.46875,0.5,0.07842851392835698,0.05670494202672344
primary,0.46875,0.9375,0.04623004183555451,0.09176596364943616
parameter_ensemble_20bps,0.25,0.5,0.041087451342835805,0.08588400235472461
primary,0.53125,0.90625,0.07036107368234268,0.07266695550355735
parameter_ensemble_20bps,0.25,0.46875,0.06478731065238971,0.06710271235708806
primary,0.6875,0.875,0.06272294955446844,0.07942343860194243
parameter_ensemble_20bps,0.40625,0.5,0.05819902378570537,0.07302192117862495
primary,0.875,0.78125,0.04459527915923898,0.09167095122617604
parameter_ensemble_20bps,0.4375,0.46875,0.03782173255444546,0.0866789759036197
primary,0.84375,0.78125,0.0703794142050675,0.07324844633633096
