candidate,splits,test_percentile_median,test_percentile_mean,pbo_below_median,train_percentile_median
parameter_ensemble_20bps,924,0.4375,0.4075351731601732,0.8571428571428571,0.4375
primary,924,0.78125,0.7512344426406926,0.07467532467532467,0.78125
