strategy,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,annualized_turnover,avg_turnover_per_rebalance,average_holdings,overlay,description,risk_on_fraction
TOP20_MOM_top8_biweekly__bull_only__BTC_LT_14D,1.18716061803458,0.1693348914938162,0.2777523444240644,0.7022788944740839,1.0991715553834531,-0.4205589630138661,0.40264245060979265,0.2459016393442623,9.362097487993523,0.9757528546276356,1.2048192771084338,BTC_LT_14D,Exit to cash when BTC closes below its level 14 days earlier; re-enter at next rebalance once the condition clears.,0.5197152245345017
TOP20_MOM_top8_biweekly__bull_only__NO_STOP,1.7632286235860164,0.22527907228876476,0.4434628661769481,0.6798782159988532,1.067586270038012,-0.4931307117396654,0.4568343989244267,0.21311475409836064,8.055818159119205,0.7750223371207412,2.7524644030668126,NO_STOP,No additional stop-loss overlay.,1.0
TOP20_MOM_top8_biweekly__bull_only__BTC_LT_14D_CONFIRM2,0.922841340333769,0.139613512572061,0.3256347077486913,0.5633431095249808,0.8886105943671289,-0.5481986273280852,0.2546768736954631,0.18032786885245902,8.633009338355146,0.9388847559164085,1.4720700985761226,BTC_LT_14D_CONFIRM2,Same as BTC_LT_14D but require the new state to persist for 2 consecutive days before switching.,0.5186199342825849
TOP20_MOM_top8_biweekly__bull_only__BTC_LT_20DMA,0.42022735028348945,0.07264221913847213,0.2783028320569846,0.39263671862691807,0.5718890497927352,-0.49372186057454714,0.14713186702719205,0.21311475409836064,9.417664990605958,0.9615127913249361,1.2092004381161008,BTC_LT_20DMA,Exit to cash when BTC closes below its 20-day moving average; re-enter at next rebalance once back above.,0.4994523548740416
