offset_days,cost_bps,multiple,cagr,sharpe,max_drawdown
0,2.0,25.868495072589642,0.9911665323130321,1.3599489766759607,-0.41786949487206715
1,2.0,2.1858844777707924,0.18006201725484705,0.5699680912942209,-0.4551413779166217
2,2.0,3.126798658125711,0.27297841031676007,0.678941681666109,-0.7470626738454493
3,2.0,8.370332990439179,0.5680512966660625,1.003915706606745,-0.5134057399269061
4,2.0,14.658674025958137,0.7655580276399034,1.249985605295608,-0.37810247684983833
5,2.0,3.667325442683057,0.3166863626602707,0.7592768681467734,-0.6175366726905966
6,2.0,6.642562849890814,0.49314639483081146,0.9341639697897361,-0.5048359283477603
7,2.0,1.0408544824663044,0.008513604586630752,0.2519062904248447,-0.588493673253913
8,2.0,0.7069329254498795,-0.07079654530058499,0.10669544529330481,-0.6165224424276382
9,2.0,2.7587356964712315,0.23966914379873883,0.6553864936107511,-0.5375297684110291
10,2.0,4.596271492421494,0.3811552561389797,0.8609408958216422,-0.572074989753904
11,2.0,8.959149106890095,0.5907832260842905,1.0772214587642626,-0.5154390515888712
12,2.0,5.271679960362173,0.42183381591968505,0.8271754925149707,-0.6828406291209579
13,2.0,5.320894348105508,0.42463379896918596,0.8484893697952746,-0.6590649464229987
14,2.0,5.1118197315120275,0.41259427272424776,0.8412163903787044,-0.6700325809834698
15,2.0,7.116126896214148,0.5150760137987558,1.0126855026359818,-0.6679871624661475
16,2.0,2.2918852384147597,0.1919524502779486,0.5878677190188712,-0.6808453773367708
17,2.0,3.9138258275996285,0.33494623110568056,0.7964828348804337,-0.5006220518770675
18,2.0,2.0044980315401077,0.15861649697865832,0.5325764366988941,-0.5329434438016603
19,2.0,3.341814761120967,0.29102883780363964,0.752365800312487,-0.6495268851434096
20,2.0,14.703800046846622,0.766707354743553,1.328977721215574,-0.5512471834783594
0,20.0,22.435339742440824,0.9320364844298183,1.3134453709359495,-0.43987187292967755
1,20.0,1.8753966933971746,0.14240065772487753,0.5062594358238073,-0.4715835549295341
2,20.0,2.6875212162943725,0.23282396933108207,0.6270545049371629,-0.7629530006042398
3,20.0,7.168406594762648,0.5174257847758523,0.9522177675214641,-0.5183745441218501
4,20.0,12.463670086314957,0.7059519861804766,1.190740914791732,-0.38589774908815744
5,20.0,3.1181766055926055,0.27223443262277414,0.6975303939101832,-0.6402701138679594
6,20.0,5.688801075596619,0.444942883341368,0.8818786109530411,-0.5154283167089677
7,20.0,0.9010951228865766,-0.021807838848640793,0.18779591499805048,-0.6212329910293004
8,20.0,0.612005574743309,-0.09873500854362038,0.04720432305835996,-0.6406151503613939
9,20.0,2.3625894636930744,0.1996446442063209,0.5952430623789807,-0.5408512369403939
10,20.0,3.936276240769361,0.3365637992200914,0.8000384286406648,-0.5766767487663732
11,20.0,7.784112708298786,0.5441307245616196,1.0255110494970683,-0.5269144226810192
12,20.0,4.531018557439415,0.3769804482126018,0.7797635876900323,-0.6940686392873
13,20.0,4.623051307904295,0.38285508419093706,0.8013928398798884,-0.6675583875329132
14,20.0,4.457414928441093,0.3722141021835008,0.7942973900821272,-0.6794115476662663
15,20.0,6.20515942350367,0.4717675572229989,0.9606786526456753,-0.676259618782496
16,20.0,2.0057061662040834,0.1587643063189519,0.5333049163300269,-0.6882361702733171
17,20.0,3.425121146683164,0.29777663790158604,0.7434312554281282,-0.5183028415149484
18,20.0,1.7542108915645274,0.1263574912420684,0.4778561168729369,-0.5614942124576285
19,20.0,2.914013993708495,0.2541247710433987,0.693627070976526,-0.6679729085649269
20,20.0,12.867843112695622,0.7175174607275712,1.2760684622412815,-0.5679165884034829
