date,walk_forward_switch0bps,walk_forward_switch40bps,equal_weight_candidates,BTC
2023-01-01,0.0,0.0,0.0,0.004688636133552748
2023-01-02,0.0,0.0,0.0,0.00381296237878348
2023-01-03,0.0,0.0,0.0,-0.000516181344295652
2023-01-04,0.0,0.0,0.0,0.010994169649782615
2023-01-05,0.0,0.0,0.0,-0.0015715613249244198
2023-01-06,0.0,0.0,0.0,0.00684413338723755
2023-01-07,0.0,0.0,0.0,0.00018333672240578025
2023-01-08,0.0,0.0,0.0,0.008025148611963573
2023-01-09,0.0,0.0,0.0,0.006167498533321769
2023-01-10,0.0,0.0,0.0,0.014522586838815466
2023-01-11,0.0,0.0,0.0,0.028522112643937003
2023-01-12,0.0,0.0,0.0,0.05158803538184964
2023-01-13,0.0001177090285692,0.0001177090285692,0.0002221094104985625,0.05511442891275986
2023-01-14,0.0033881555857053,0.0033881555857053,0.0065510182955131994,0.05357850138673492
2023-01-15,-0.0011423142507427,-0.0011423142507427,-0.0022000188433422,-0.004552785531146242
2023-01-16,-0.0013828361993643,-0.0013828361993643,-0.0026348349597465,0.01383249633874728
2023-01-17,0.0045262949880244,0.0045262949880244,0.008768100196767537,-0.00038326412480793604
2023-01-18,-0.0188741272602244,-0.0188741272602244,-0.03648217351919652,-0.022339534564535524
2023-01-19,0.0081612670656141,0.0081612670656141,0.015105483028427586,0.01923808754978773
2023-01-20,0.0283868369883086,0.0283868369883086,0.047437355764054244,0.07539119064056954
2023-01-21,-0.0142731542957375,-0.0142731542957375,-0.022005726639185187,0.004457205456948943
2023-01-22,0.0074524703885452,0.0074524703885452,0.0110734857580157,-0.0025116832181237836
2023-01-23,0.0095510559119749,0.0095510559119749,0.010356283007153837,0.00941953876273871
2023-01-24,-0.041401627690516,-0.041401627690516,-0.05492097417607519,-0.012991913648701114
2023-01-25,0.0294452735069761,0.0294452735069761,0.035706282849230934,0.02126614199835486
2023-01-26,0.0014530179086464,0.0014530179086464,-0.00019806843764009992,-0.0036803616064422506
2023-01-27,0.0404843684964672,0.0404843684964672,0.0270169126091518,0.0019949952196161025
2023-01-28,-0.001716629858265,-0.001716629858265,0.0010775161266553374,-0.0020641564188493833
2023-01-29,0.0161372711477739,0.0161372711477739,0.015975700521385985,0.032281414163845445
2023-01-30,-0.034163605454696,-0.034163605454696,-0.03292061068085879,-0.039303641502676956
2023-01-31,0.009601138764562,0.009601138764562,0.0022326778281185128,0.013097337268629605
2023-02-01,0.01728784985025,0.01728784985025,0.02392157735179589,0.025259456854756834
2023-02-02,-0.0030947812033573,-0.0030947812033573,-0.011853937727883297,-0.010618009527347483
2023-02-03,0.0153963070159311,0.0153963070159311,0.006674578216449538,-0.000960674175039089
2023-02-04,0.0366374655335885,0.0366374655335885,0.012849913662891262,-0.005009717820696147
2023-02-05,-0.0182398112435086,-0.0182398112435086,-0.022760623143866086,-0.016123074979374374
2023-02-06,-0.010482460699821,-0.010482460699821,-0.013683589649052136,-0.008518888228211896
2023-02-07,0.0195169068191793,0.0195169068191793,0.02676682175933935,0.022151999296601277
2023-02-08,-0.0170137081918149,-0.0170137081918149,-0.02285579573187535,-0.013965286300207103
2023-02-09,-0.0500786278142886,-0.0500786278142886,-0.07802091384700342,-0.048839936938460005
2023-02-10,0.0139841629292326,0.0139841629292326,0.023965162943085403,-0.00769310347551222
2023-02-11,0.0045094839849135,0.0045094839849135,0.005742591162994287,0.010146802286697287
