train_start,train_end,test_start,test_end,selected_candidate,previous_candidate,switched,train_metric,train_c7_tv0.5_vw60_own75_btc_ma100_20bps,train_c7_tv0.6_vw60_own75_btc_ma100_20bps,train_c7_tv0.7_vw60_own75_btc_ma100_20bps,train_c7_tv0.8_vw60_own75_btc_ma100_20bps,train_c14_tv0.5_vw60_own75_btc_ma100_20bps,train_c14_tv0.6_vw60_own75_btc_ma100_20bps,train_c14_tv0.7_vw60_own75_btc_ma100_20bps,train_c14_tv0.8_vw60_own75_btc_ma100_20bps,switch_cost_bps
2022-01-01,2022-12-31,2023-01-01,2023-03-31,c14_tv0.5_vw60_own75_btc_ma100_20bps,,False,0.8641670741211532,0.8379639063737266,0.8104665484423059,0.7944762893243724,0.7818174303811444,0.8641670741211532,0.8403570350698704,0.8225153096606991,0.8064312373508925,0.0
2022-04-01,2023-03-31,2023-04-01,2023-06-29,c14_tv0.5_vw60_own75_btc_ma100_20bps,c14_tv0.5_vw60_own75_btc_ma100_20bps,False,0.8708477811900402,0.7696076542301247,0.7457651013078691,0.7307444815407085,0.7146919379960289,0.8708477811900402,0.8478233007119346,0.8289571894758515,0.8104371365991416,0.0
2022-06-30,2023-06-29,2023-06-30,2023-09-27,c14_tv0.5_vw60_own75_btc_ma100_20bps,c14_tv0.5_vw60_own75_btc_ma100_20bps,False,1.0488552545040315,0.9939071493906504,0.9817136031355487,0.976664404839865,0.9727917091497507,1.0488552545040315,1.0440489417382854,1.0434122559180863,1.0435900533899392,0.0
2022-09-28,2023-09-27,2023-09-28,2023-12-26,c14_tv0.5_vw60_own75_btc_ma100_20bps,c14_tv0.5_vw60_own75_btc_ma100_20bps,False,0.9915785501755362,0.9368697585182277,0.9149222283172814,0.9082578427836069,0.902984461910273,0.9915785501755362,0.9588533425516691,0.9373709850256422,0.9253164743209674,0.0
2022-12-27,2023-12-26,2023-12-27,2024-03-25,c14_tv0.8_vw60_own75_btc_ma100_20bps,c14_tv0.5_vw60_own75_btc_ma100_20bps,True,1.7729983237367906,1.4591049163972143,1.5321739129458303,1.5955185871967095,1.621545008997853,1.6195421248346644,1.684241029660301,1.7450429754349726,1.7729983237367906,0.0
2023-03-27,2024-03-25,2024-03-26,2024-06-23,c7_tv0.8_vw60_own75_btc_ma100_20bps,c14_tv0.8_vw60_own75_btc_ma100_20bps,True,2.7443704793669825,2.276279458548134,2.4871722710623456,2.6370689484738863,2.7443704793669825,2.0052096211308923,2.1299584897244257,2.229549649885311,2.289439845433015,0.0
2023-06-25,2024-06-23,2024-06-24,2024-09-21,c7_tv0.8_vw60_own75_btc_ma100_20bps,c7_tv0.8_vw60_own75_btc_ma100_20bps,False,2.012182149637121,1.7069503203497673,1.8467247741255257,1.9526354057499142,2.012182149637121,1.5993391619547477,1.6561360522033926,1.6921727507009316,1.6884956831857703,0.0
2023-09-23,2024-09-21,2024-09-22,2024-12-20,c7_tv0.8_vw60_own75_btc_ma100_20bps,c7_tv0.8_vw60_own75_btc_ma100_20bps,False,1.5688985812173668,1.4600008594776892,1.535191123803372,1.56836294555881,1.5688985812173668,1.4501029530763678,1.5012119266826298,1.5306341614661567,1.5176163807992644,0.0
2023-12-22,2024-12-20,2024-12-21,2025-03-20,c7_tv0.8_vw60_own75_btc_ma100_20bps,c7_tv0.8_vw60_own75_btc_ma100_20bps,False,2.716104633246118,2.1467138261346794,2.4122890875146616,2.610065102245809,2.716104633246118,1.8518517516227913,1.9899134520158692,2.081316374669458,2.0788440820902148,0.0
2024-03-21,2025-03-20,2025-03-21,2025-06-18,c14_tv0.7_vw60_own75_btc_ma100_20bps,c7_tv0.8_vw60_own75_btc_ma100_20bps,True,1.4573790904990742,1.2826378297569154,1.3411512387301705,1.373758874460403,1.3538010373633147,1.3781093863504212,1.4289419134474288,1.4573790904990742,1.4189352872257583,0.0
