strategy,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,annualized_turnover,avg_turnover_per_rebalance,average_holdings
BTC_BH__always_on,3.4049734765104436,0.5428822238234225,0.47092504074172514,1.1553279993985168,2.0715226857355344,-0.49625772909883836,1.0939521784562434,0.5952380952380952,0.29246794871794873,1.0,0.9919871794871795
TOP20_MOM_top8_biweekly__bull_only,2.1411243264621183,0.3975954149612666,0.4991611446694261,0.9202374174333651,1.4848116510597147,-0.4778367654487402,0.8320737199614217,0.2857142857142857,9.80570219276232,0.7450542670665068,3.5673076923076925
BTC_BH__bull_only,1.1651846655036104,0.253491858898945,0.3030908947991949,0.8960918541465468,1.48657238817942,-0.2328680779438561,1.0885642254498327,0.2619047619047619,2.9246794871794872,1.0,0.41346153846153844
ETH_BH__bull_only,1.6464559680067015,0.3292781612626805,0.42442497460081047,0.8801862541423153,1.485238928709672,-0.509502186449559,0.6462742850177724,0.23809523809523808,2.9246794871794872,1.0,0.41346153846153844
TOP20_MOM_top4_monthly__bull_only,1.6354894007852847,0.3276647767741725,0.49655403511514074,0.8163294656526138,1.37996154173208,-0.4251278076759737,0.7707441641265534,0.23809523809523808,6.8389081839780355,1.062883862217259,1.6538461538461537
TOP20_MOM_top4_biweekly__bull_only,1.820414552465825,0.35426016431705354,0.5694282280409287,0.8146982494547438,1.36885731266128,-0.5044418911932788,0.7022814133834842,0.30952380952380953,11.165382787664742,0.8483651579303256,1.794871794871795
TOP20_MOM_top6_biweekly__bull_only,1.6461234525931285,0.3292293117131839,0.520331015501807,0.8062625769225205,1.3160685255772289,-0.5228646687123788,0.6296644837830662,0.2857142857142857,10.220137700461338,0.7765437960533178,2.6923076923076925
TOP20_MOM_top8_monthly__bull_only,1.408089542287815,0.29308481485337423,0.4541542572939507,0.7937579474359249,1.2489843399301184,-0.46363997612075425,0.6321387929177202,0.2619047619047619,6.043075049319331,0.9391977162578489,3.2836538461538463
TOP20_EQ__bull_only,1.2816941015011798,0.2728546476032001,0.4384356875737717,0.770936546346271,1.1919019247125868,-0.5378652213894128,0.5072918581691568,0.23809523809523808,4.775872121911355,0.7422526037540936,6.334935897435898
TOP20_MOM_top4_biweekly__always_on,1.5985664529604335,0.32219756126317445,0.6931426496125956,0.747658131254342,1.3033232214999002,-0.5939219814050579,0.5424913900323114,0.47619047619047616,19.81256073701987,0.8161767882423107,3.6826923076923075
TOP20_MOM_top8_monthly__always_on,1.4986457847509942,0.30712125260537837,0.6212810906750834,0.7412558493937139,1.261791344177957,-0.5690861334196022,0.5396744615088517,0.5,9.76022500233101,0.8782091422429057,7.014423076923077
TOP20_SECTOR_top3_monthly__bull_only,1.2079772977480125,0.26068735307516855,0.46557326830490103,0.7286076862530901,1.1895305145086232,-0.4962140430005859,0.525352631092024,0.23809523809523808,7.711030488200565,1.1984266561985437,1.8990384615384615
TOP20_SECTOR_top3_biweekly__bull_only,1.1949916556360747,0.2585143508138261,0.4935822928789179,0.7111965760048438,1.170839565718003,-0.5284322832729433,0.4892099877257111,0.30952380952380953,12.43560719631597,0.9448790125419991,1.9519230769230769
TOP20_SECTOR_top4_biweekly__bull_only,1.118469714028032,0.2455210206323566,0.4649250352789706,0.7045334425678432,1.1306234339970354,-0.4855701520945451,0.505634499100248,0.2857142857142857,10.705834054283185,0.8134478477774988,2.636217948717949
TOP20_MOM_top8_biweekly__always_on,1.2882563708735404,0.27392422533085536,0.6226518009269187,0.7003894101587426,1.183548154521399,-0.6338251820935229,0.4321763051857365,0.47619047619047616,16.466348830179385,0.6783298676370316,7.107371794871795
TOP20_MOM_top4_monthly__always_on,1.243356647212023,0.2665621712770343,0.6556882071448976,0.6859191773071897,1.2028878241895262,-0.5756815447078782,0.4630375486716317,0.4523809523809524,11.877438579434434,1.0687125700889815,3.6794871794871793
TOP20_EQ__always_on,1.1287339560409952,0.2472829600742732,0.6318486326528471,0.6656672732048661,1.1268518763822246,-0.6595978420851045,0.3748995892596743,0.4523809523809524,5.763162093823177,0.51855993461365,12.99599358974359
TOP20_SECTOR_top2_biweekly__bull_only,1.0674104519459773,0.23666537739924087,0.5446035426738945,0.6590000878170079,1.1076795292567325,-0.5796878686985718,0.4082634641476394,0.2857142857142857,14.747812037154691,1.1205643483938545,1.3125
TOP20_MOM_top6_biweekly__always_on,1.0929512927733542,0.2411142507506141,0.6413957407463358,0.656792832758476,1.120832534682637,-0.6656965196622706,0.36219845474472234,0.4523809523809524,17.68014801907089,0.7283322240567905,5.479166666666667
TOP20_SECTOR_top3_monthly__always_on,1.0100368278294782,0.22652796944185205,0.6238361166520562,0.6385066733184945,1.084265890789676,-0.6093782938185479,0.37173619693993293,0.47619047619047616,12.371389720981973,1.1131574889535327,4.103365384615385
TOP20_MOM_top6_monthly__always_on,0.9523477846809605,0.2161262522198042,0.6163996323169675,0.6254121402838282,1.0606153271506333,-0.5519175187226453,0.3915915782488759,0.4523809523809524,10.841410735772955,0.9754924728366724,5.420673076923077
TOP20_MOM_top6_monthly__bull_only,0.8178544624211537,0.19100263041843046,0.46134294009814114,0.6097051695387052,0.9651283710247881,-0.4816984147094021,0.3965191177422871,0.21428571428571427,6.651758983965328,1.033797660272569,2.480769230769231
TOP20_SECTOR_top2_biweekly__always_on,0.7829206701084497,0.1842627434853985,0.6839123968145853,0.5880403895740156,1.0091188130072544,-0.6467669132897038,0.2848982217537501,0.5,25.88696270283664,1.0664112709404234,2.717948717948718
ETH_BH__always_on,0.7779755747121657,0.18330114095988037,0.6390803114678556,0.5801490002377853,1.0122257375559798,-0.6379142839574496,0.2873444686372738,0.5,0.29246794871794873,1.0,0.9919871794871795
TOP20_SECTOR_top4_monthly__bull_only,0.6827016136648971,0.16439367105760483,0.4257023506729251,0.570641364829225,0.8894385712561144,-0.5065995478376696,0.32450418039117895,0.21428571428571427,6.6849854018840755,1.0389616166315472,2.409455128205128
TOP20_SECTOR_top4_monthly__always_on,0.6716354405049618,0.16214885129838197,0.5804661548406239,0.5495658469009101,0.9131164638752165,-0.6510935955482406,0.24904077141451175,0.42857142857142855,11.670373538431951,1.05008119509467,5.159455128205129
TOP20_SECTOR_top4_biweekly__always_on,0.5111102161009864,0.12833581834001828,0.583003274459802,0.4992794468974507,0.8331380071067316,-0.6475964979330956,0.1981725020898382,0.5238095238095238,20.984869289115252,0.864469941337377,5.288461538461538
TOP20_SECTOR_top3_biweekly__always_on,0.40265631659459444,0.10402405733824005,0.6097635528216913,0.46701001855357943,0.7905856552447309,-0.7020617731957562,0.14816937954722537,0.47619047619047616,22.192353992029886,0.9142121730336128,4.020032051282051
TOP20_SECTOR_top2_monthly__bull_only,0.22156280161419373,0.06027881869307694,0.45574089837027226,0.35701259379330114,0.5464012567646015,-0.5285912441110876,0.11403673323126191,0.21428571428571427,8.460534688105744,1.314912489508838,1.1947115384615385
