strategy,annualized_turnover,avg_turnover_per_rebalance,average_holdings
BTC_BH__always_on,0.29246794871794873,1.0,0.9919871794871795
TOP20_MOM_top8_biweekly__bull_only,9.80570219276232,0.7450542670665068,3.5673076923076925
BTC_BH__bull_only,2.9246794871794872,1.0,0.41346153846153844
ETH_BH__bull_only,2.9246794871794872,1.0,0.41346153846153844
TOP20_MOM_top4_monthly__bull_only,6.8389081839780355,1.062883862217259,1.6538461538461537
TOP20_MOM_top4_biweekly__bull_only,11.165382787664742,0.8483651579303256,1.794871794871795
TOP20_MOM_top6_biweekly__bull_only,10.220137700461338,0.7765437960533178,2.6923076923076925
TOP20_MOM_top8_monthly__bull_only,6.043075049319331,0.9391977162578489,3.2836538461538463
TOP20_EQ__bull_only,4.775872121911355,0.7422526037540936,6.334935897435898
TOP20_MOM_top4_biweekly__always_on,19.81256073701987,0.8161767882423107,3.6826923076923075
TOP20_MOM_top8_monthly__always_on,9.76022500233101,0.8782091422429057,7.014423076923077
TOP20_SECTOR_top3_monthly__bull_only,7.711030488200565,1.1984266561985437,1.8990384615384615
TOP20_SECTOR_top3_biweekly__bull_only,12.43560719631597,0.9448790125419991,1.9519230769230769
TOP20_SECTOR_top4_biweekly__bull_only,10.705834054283185,0.8134478477774988,2.636217948717949
TOP20_MOM_top8_biweekly__always_on,16.466348830179385,0.6783298676370316,7.107371794871795
TOP20_MOM_top4_monthly__always_on,11.877438579434434,1.0687125700889815,3.6794871794871793
TOP20_EQ__always_on,5.763162093823177,0.51855993461365,12.99599358974359
TOP20_SECTOR_top2_biweekly__bull_only,14.747812037154691,1.1205643483938545,1.3125
TOP20_MOM_top6_biweekly__always_on,17.68014801907089,0.7283322240567905,5.479166666666667
TOP20_SECTOR_top3_monthly__always_on,12.371389720981973,1.1131574889535327,4.103365384615385
TOP20_MOM_top6_monthly__always_on,10.841410735772955,0.9754924728366724,5.420673076923077
TOP20_MOM_top6_monthly__bull_only,6.651758983965328,1.033797660272569,2.480769230769231
TOP20_SECTOR_top2_biweekly__always_on,25.88696270283664,1.0664112709404234,2.717948717948718
ETH_BH__always_on,0.29246794871794873,1.0,0.9919871794871795
TOP20_SECTOR_top4_monthly__bull_only,6.6849854018840755,1.0389616166315472,2.409455128205128
TOP20_SECTOR_top4_monthly__always_on,11.670373538431951,1.05008119509467,5.159455128205129
TOP20_SECTOR_top4_biweekly__always_on,20.984869289115252,0.864469941337377,5.288461538461538
TOP20_SECTOR_top3_biweekly__always_on,22.192353992029886,0.9142121730336128,4.020032051282051
TOP20_SECTOR_top2_monthly__bull_only,8.460534688105744,1.314912489508838,1.1947115384615385
TOP20_SECTOR_top2_monthly__always_on,14.142298357552885,1.2725009625253068,2.657051282051282
