rebalance_date,sector,sector_rank,sector_weight,sector_ret_30,sector_ret_60,sector_ret_90,sector_rel_btc_60,breadth_positive_30,breadth_above_ma20,leader_momentum,top2_momentum,member_count,sector_ret_21,sector_rel_btc_30,leader_vs_sector,sector_lead_score
2021-11-04,Meme,1,1.0,0.9473250841212097,2.6887996293917604,3.555973064056479,2.5021728693941085,1.0,1.0,3.9519509692389643,1.991497043689429,2.0,0.9473250841212097,0.7542498303606961,1.2631513398472038,0.9875
2022-03-24,Store of Value,1,1.0,0.48793066328108803,0.5729787348683125,0.08332840991465773,0.3602751387908053,1.0,1.0,0.7531356568354223,0.4325246340839693,2.0,0.48793066328108803,0.33796051870765487,0.18015692196710975,0.91875
2022-04-07,Smart Contract Platform / L1,1,1.0,0.37973004679693695,0.01811272401854978,inf,-0.0067337772767078925,1.0,0.42857142857142855,inf,inf,7.0,0.37973004679693695,0.2579785579658796,inf,0.95625
2023-01-12,Smart Contract Platform / L1,1,1.0,0.10848549949602636,0.1769185356102164,0.05524021879684463,0.021067873306376356,0.8333333333333334,1.0,0.4606395331096242,0.28788998257953036,6.0,0.10848549949602636,0.0480826488019178,0.2837209974994078,1.0
2023-01-26,Smart Contract Platform / L1,1,1.0,0.777484320670582,0.641170503258396,0.12988199489218472,0.2399566820662179,1.0,1.0,1.3186017445010494,1.0431890277833757,5.0,0.777484320670582,0.3997354574601709,0.6774312412426534,1.0
2023-03-09,Smart Contract Platform / L1,1,1.0,-0.22657190823957973,0.27663847856713775,0.3678082381246222,0.08648271030376031,0.0,0.0,0.3000514924400185,0.14617788283383656,4.0,-0.22657190823957973,-0.10261683706099378,0.02341301387288075,0.825
2023-03-23,Smart Contract Platform / L1,1,1.0,0.02145351190741209,0.1954541595709281,1.045031218706041,-0.0524310475103868,0.4,1.0,0.7002540680662808,0.5284078575694393,5.0,0.02145351190741209,-0.13785611366261716,0.5047999084953527,0.825
2023-11-02,Oracle / Middleware,1,1.0,0.48603050344176,0.825870646766169,0.5435300714986682,0.4802677771447357,1.0,1.0,0.5994824600504642,0.5994824600504642,1.0,0.48603050344176,0.21191977400765705,-0.2263881867157047,0.85
2023-11-16,Smart Contract Platform / L1,1,1.0,0.7530871544403163,0.7853473518373371,0.582801248549384,0.4224311173349491,1.0,1.0,1.669076645186424,1.4889758414249987,8.0,0.7530871544403163,0.4801865079655153,0.883729293349087,0.93
2023-11-30,Smart Contract Platform / L1,1,1.0,0.36165067223780084,0.5439707119365491,0.6848931623264188,0.19622145681474112,1.0,0.6666666666666666,1.1302849022083161,1.081335229260329,6.0,0.36165067223780084,0.2730167657470988,0.586314190271767,1.0
