strategy,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,annualized_turnover,avg_turnover_per_rebalance,average_holdings,variant,cagr_delta_vs_best_momentum,sharpe_delta_vs_best_momentum,drawdown_improvement_vs_best_momentum
SECTOR_LEAD_V3D_top1_biweekly__bull_only__BTC_LT_21D,3.3559738319070647,0.34198312277584053,0.5099245425181642,0.8204615938150792,1.507058815153777,-0.53101131031897,0.6440222950626358,0.16393442622950818,9.994523548740416,1.25,0.18072289156626506,V3+STOP,0.11670405048707577,0.14058337781622599,-0.03788059857930459
SECTOR_LEAD_V3C_top2_biweekly__bull_only__BTC_LT_21D,1.8069224218322528,0.22912764770721172,0.4148140973038311,0.7014339463589131,1.1547640518368687,-0.6095147043413011,0.3759181625566009,0.19672131147540983,9.894896589511717,1.1000353834062948,0.3614457831325301,V3+STOP,0.0038485754184469645,0.021555730360059866,-0.11638399260163568
TOP20_MOM_top8_biweekly__bull_only,1.7632286235860164,0.22527907228876476,0.4434628661769481,0.6798782159988532,1.067586270038012,-0.4931307117396654,0.4568343989244267,0.21311475409836064,8.055818159119205,0.7750223371207412,2.7524644030668126,BASELINE,0.0,0.0,0.0
SECTOR_LEAD_V3A_top2_biweekly__bull_only,1.7487998354588878,0.22399748180534163,0.5212914584529833,0.6451127483789834,1.0640521390954014,-0.6107570402492527,0.3667538268800426,0.21311475409836064,13.382164591911957,1.287451662003753,0.6900328587075575,V3A,-0.001281590483423134,-0.03476546761986987,-0.11762632850958732
SECTOR_LEAD_V3B_top1_biweekly__bull_only,1.3408943983303283,0.18532080268094298,0.6482524949600723,0.5747309583931868,1.0265322712606884,-0.8074504499369871,0.22951352952420212,0.21311475409836064,14.392113910186199,1.6744186046511629,0.34501642935377874,V3B,-0.039958269607821784,-0.10514725760566646,-0.31431973819732173
TOP20_SECTOR_top4_biweekly__bull_only,0.7214697147867235,0.11468983180314662,0.4257619155904642,0.4681037746200742,0.7228421878468427,-0.6257391849339894,0.1832869581521341,0.21311475409836064,9.708311655558823,0.9340030075369026,2.108433734939759,BASELINE,-0.11058924048561813,-0.21177444137877904,-0.132608473194324
